id,appointment_info,archived,coordinates,created_at,dates,details,hours,irs_id,languages,last_scrape_id,name,updated_at
1241,Not Required,false,0101000020E610000098DC28B2D6C356C0672C9ACE4EB44040,2020-01-10T19:32:26.833454,25 JAN 2022 - 18 APR 2022,"215 S Broadway Street
Greenville, MS 38701
Volunteer Prepared Taxes","TUE 9:00AM-4:00PM
THU 9:00AM-4:00PM",25995,"English,Spanish",1088,Southern Bancorp - Greenville,2022-03-20T00:00:55.109738
1603,Required,false,0101000020E61000002FC37FBA810956C0702711E15FAC3E40,2020-01-10T19:32:29.948379,28 JAN 2022 - 15 APR 2022,"300 F Azalea Rd
Mobile, AL 36609
251-300-6278
Volunteer Prepared Taxes",,13369,English,1088,Goodwill Gulf Coast - Azalea Rd,2022-03-20T00:00:58.680299
1880,Required,false,0101000020E6100000915F3FC4069A54C098158A743F074440,2020-01-10T19:32:32.248141,31 JAN 2022 - 11 APR 2022,"101 W Main Street
Newark, OH 43055
740-345-1970
Volunteer Prepared Taxes",,22586,English,1088,LCCH @ Newark Public Library,2022-03-20T00:01:01.068994
1931,Required,false,0101000020E6100000CAFE791A308854C00C21E7FD7F6E4340,2020-01-10T19:32:32.654703,25 JAN 2022 - 14 APR 2022,"700 22nd Street
Drop-Off Site.  Return Visit Required.
Point Pleasant, WV 25550
304-674-8055
Volunteer Prepared Taxes",,7905,English,1088,Southwestern CAC - Mason,2022-03-20T00:01:01.68854
2106,Required,false,0101000020E610000068D0D03FC12254C0E50AEF7211CB4240,2020-01-10T19:32:34.155112,25 JAN 2022 - 13 OCT 2022,"245 Main Street
Drop-Off Site.  Return Visit Required.
Union, WV 24983
304-772-3381
Volunteer Prepared Taxes",,5431,English,1088,Community Action of South Eastern West Virginia,2022-03-20T00:01:03.91451
6810,Required,false,0101000020E610000056D28A6F285153C00282397AFC964340,2022-01-09T00:00:46.103235,20 JAN 2022 - 07 APR 2022,"1401 Rockville Pike
STE 320
Rockville, MD 20852
240-777-1123
Volunteer Prepared Taxes",,28408,"English,Russian,Spanish,Chinese,French,German",1088,Community Action Agency MC Germ,2022-03-20T00:01:08.206766
6812,Required,false,0101000020E6100000608F8994663C53C0548EC9E2FE894340,2022-01-09T00:00:46.336737,20 JAN 2022 - 07 APR 2022,"1401 Rockville Pike
STE 320
Rockville, MD 20852
240-777-1123
Volunteer Prepared Taxes",,28409,"English,Russian,Spanish,Chinese,French,German",1088,Community Action Agency MC EC,2022-03-20T00:01:08.291768
19,Not Required,false,0101000020E6100000D0D38041D2965EC0CA198A3BDEFA4240,2020-01-10T19:32:16.512651,05 FEB 2022 - 15 APR 2022,"1865 Rumrill Blvd
Suite B
San Pablo, CA 94806
Volunteer Prepared Taxes","FRI 9:00AM-4:00PM
SAT 9:00AM-4:00PM",4888,"English,Spanish",1088,Lao Family Community Dev - CCC,2022-03-20T00:00:42.77262
35,Not Required,false,0101000020E61000003AE97DE36B895EC0DE21C50089064340,2020-01-10T19:32:16.655459,08 FEB 2022 - 14 APR 2022,"480 Military East
Benicia, CA 94510
Volunteer Prepared Taxes","TUE 9:00AM-4:00PM
THU 9:00AM-4:00PM",7131,"English,Tagalog",1088,Benicia Community Action Council,2022-03-20T00:00:42.875636
4668,Required,true,0101000020E6100000CFF9298E035E5DC080B9162D40F54040,2021-01-31T00:00:17.174277,01 MAR 2021 - 30 JUN 2021,"10422 Hole Avenue
Riverside, CA 92505
951-729-6282
Volunteer Prepared Taxes",,28701,"English,Spanish",52,GT 307 - His Daughters House,2021-07-11T00:00:07.119551
103,Not Required,true,0101000020E61000003D2828452B7A5EC06B0F7BA1807D4240,2020-01-10T19:32:17.216477,04 FEB 2020 - 14 APR 2020,"7695 Soquel Avenue
Aptos, CA 95003
Volunteer Prepared Taxes",TUE 11:00AM-1:00PM,11661,English,2,Aptos Library,2020-07-19T00:00:09.250799
59,Required,false,0101000020E61000005FEE93A3007D5EC064213A048EB04240,2020-01-10T19:32:16.85677,06 FEB 2022 - 27 MAR 2022,"1177 Laurelwood Road
Room G10
Santa Clara, CA 95054
408-567-0877
Volunteer Prepared Taxes",,1183,"English,Mandarin,Chinese",1088,River of Life Foundation,2022-03-20T00:00:43.004603
4636,Required,false,0101000020E6100000C2FA3F87F93B5EC026378AAC35DE4240,2020-07-19T00:00:06.10194,01 OCT 2021 - 30 SEP 2022,"3218 Santa Fe St
Ste B
Volunteer Prepared and Self-Prep
Riverbank, CA 95367
209-896-3055
Volunteer Prepared Taxes",,24592,"English,Spanish",1088,Central Valley Community Resourses Mobile,2022-03-20T00:00:43.384981
7201,Required,false,0101000020E6100000C8091346B3EE5DC0FED7B969335E4240,2022-02-27T00:01:20.276418,04 FEB 2022 - 15 APR 2022,"4949 E Kings Canyo Rd
Volunteer Prepared and Self-Prep
Fresno, CA 93727
866-559-4211
Self-Prep Taxes Only",,31012,"English,Spanish",1088,UWFM Spark Point FSA VITA,2022-03-20T00:00:43.781201
6835,Not Required,false,0101000020E6100000DCD5ABC8E8BD5DC003CE52B29CB04140,2022-01-23T00:00:39.934916,17 FEB 2022 - 02 APR 2022,"2200 Quincy St
Bakersfield, CA 93306
Volunteer Prepared Taxes","THU 4:00PM-8:00PM
SAT 10:00AM-5:00PM",26258,"English,Spanish",1088,UWK Mobile - East Bakersfield High School,2022-03-20T00:00:44.083343
311,Not Required,false,0101000020E61000000F7EE200FA6F5DC0202A8D98D9054140,2020-01-10T19:32:18.919529,05 FEB 2022 - 09 APR 2022,"1420 S Garey Ave
Pomona, CA 91766
Volunteer Prepared Taxes",SAT 10:00AM-4:00PM,6656,"English,Spanish,Chinese,Vietnamese",1088,Boys and Girls Club of Pomona Valley,2022-03-20T00:00:44.96753
4688,Required,true,0101000020E61000001C7A8B87F78E5EC06A6803B001994740,2021-01-31T00:00:17.932808,06 FEB 2021 - 10 APR 2021,"1705 Willow St
Sumner, WA 98391
253-720-8033
Volunteer Prepared Taxes",,29198,English,38,Sumner VFW VITA,2021-04-04T00:00:40.362061
3229,Required,false,0101000020E6100000D384ED2763805DC02CA0504F1FE54040,2020-02-25T16:46:46.712217,08 FEB 2022 - 14 APR 2022,"11870 Monarch Street
Garden Grove, CA 92841
714-944-3222
Volunteer Prepared Taxes",,26647,"English,Spanish,Vietnamese",1088,CAP OC Monarch Street,2022-03-20T00:00:45.005149
3241,Required,true,0101000020E6100000D9B11188D7645DC0E38E37F92DF04040,2020-02-25T16:46:46.931172,13 FEB 2021 - 10 APR 2021,"815 W 6th Street
Suite C-1
Corona, CA 92882
951-955-4900
Volunteer Prepared Taxes",,27861,"English,Spanish",39,Corona Civic Center,2021-04-18T00:00:14.573214
4685,Required,true,0101000020E610000018D2E1218CF85BC0344DD87E32624440,2021-01-31T00:00:17.764381,23 JAN 2021 - 15 OCT 2021,"265 E 100 S
Ste 280
Salt Lake City, UT 84111
Volunteer Prepared Taxes",,25498,English,33,UTH-SL-Salt Lake Roving,2021-02-21T00:00:39.512605
321,Required,false,0101000020E6100000282A1BD654805DC09604A8A965E14040,2020-01-10T19:32:19.002513,12 FEB 2022 - 09 APR 2022,"7101 Wyoming Street
Westminster, CA 92683
714-278-4679
Volunteer Prepared Taxes",,1484,"English,Spanish,Vietnamese",1088,"Abrazar, Inc.",2022-03-20T00:00:45.056007
4672,Not Required,false,0101000020E61000008DD0CFD4EB205DC0AA0CE36E10FB4040,2021-01-31T00:00:17.387841,08 FEB 2022 - 15 APR 2022,"65753 Pierson Blvd
Desert Hot Springs, CA 92240
Volunteer Prepared Taxes","MON 9:00AM-1:00PM
TUE 9:00AM-1:00PM
WED 9:00AM-1:00PM
THU 9:00AM-1:00PM",28056,"English,Spanish",1088,DPSS - Desert Hot Springs,2022-03-20T00:00:45.559034
4963,Required,false,0101000020E6100000022EC896E5E45CC0F241CF66D5694040,2021-02-07T00:00:21.504519,24 JAN 2022 - 15 APR 2022,"836 N. Imperial Ave.
El Centro, CA 92243
000-000-0211
Volunteer Prepared Taxes",,28715,"English,Spanish",1088,Dreams for Change - Imperial Valley,2022-03-20T00:00:46.0125
4676,Required,false,0101000020E6100000698A00A777B35EC011E0F42EDEBD4640,2021-01-31T00:00:17.611673,29 JAN 2022 - 15 APR 2022,"12350 SW 5th Ave
Ste 100
Beaverton, OR 97005
Volunteer Prepared Taxes",,28619,"English,Spanish,Virtual Interpreter Services",1088,CASH Oregon Beaverton,2022-03-20T00:00:46.090647
3276,Not Required,false,0101000020E61000000470B378B1A85CC0D333BDC4585C4040,2020-02-25T16:46:47.772575,18 JAN 2022 - 07 APR 2022,"300 S 13th Ave
Yuma, AZ 85364
Volunteer Prepared Taxes","TUE 6:00PM-8:00PM
THU 6:00PM-8:00PM",27500,"English,Spanish",1088,DFATS Martin Luther King Jr Center,2022-03-20T00:00:46.228962
3298,Required,false,0101000020E6100000A452EC681CC55EC05E8429CAA58F4740,2020-02-25T16:46:48.299972,14 FEB 2022 - 08 APR 2022,"10 SE Squaxin Lane
Shelton, WA 98584
360-432-3871
Volunteer Prepared Taxes",,14240,English,1088,Squaxin Island Tribe VITA,2022-03-20T00:00:46.83621
4133,Required,false,0101000020E610000081EA1F4432A953C0F819170E84104240,2020-02-25T16:47:06.181662,04 FEB 2022 - 15 APR 2022,"2197 Moss Hayes Rd
Mt Vernon Missionary Baptist Church
Creedmoor, NC 27522
919-528-2715
Volunteer Prepared Taxes",,1899,English,1088,Helping Hand VITA,2022-03-20T00:01:07.191002
4924,Required,false,0101000020E6100000983446EBA88852C02C4833164D514440,2021-01-31T00:00:32.02966,24 JAN 2022 - 15 APR 2022,"260 Port Richmond Avenue
Staten Island, NY 10302
646-981-6111
Volunteer Prepared Taxes",,28904,"English,Spanish",1088,Foodbanknyc-El Centro del Inmigrante,2022-03-20T00:01:11.18119
4282,Required,false,0101000020E61000005342B0AA5E0954C09F7422C1549F3A40,2020-02-25T16:47:10.113281,24 JAN 2022 - 18 APR 2022,"3750 Jog Road
Greenacres, FL 33467
Volunteer Prepared Taxes",,4079,"Spanish,English",1088,PBC Greenacres Library Branch,2022-03-20T00:01:11.312764
2883,Required,false,0101000020E6100000B4588AE42B7C52C0D3A1D3F36E524440,2020-01-10T19:32:40.68014,29 JAN 2022 - 09 APR 2022,"526 E 39th Street
Brooklyn, NY 11203
631-464-7304
Volunteer Prepared Taxes",,23373,English,1088,Eileen M Payne Inc VITA,2022-03-20T00:01:11.931406
6489,Not Required,true,0101000020E6100000D3A1D3F36E2954C06ADC9BDF308D4440,2021-12-26T00:01:02.257715,01 FEB 2017 - 14 APR 2017,"25 West Rayen Avenue
Youngstown, OH 44503
330-746-6361
Self-Prep Taxes Only","MON 9:00AM-2:00PM
TUE 9:00AM-2:00PM
WED 9:00AM-2:00PM
THU 9:00AM-2:00PM
FRI 9:00AM-2:00PM",24868,English,1078,YWCA of Youngstown FSA,2022-01-09T00:00:47.989319
7163,Required,false,0101000020E6100000871403249A7A52C012143FC6DC594440,2022-02-06T00:00:57.598094,05 FEB 2022 - 17 APR 2022,"217 Wyckoff Avenue
Brooklyn, NY 11237
347-682-5606
Volunteer Prepared Taxes",,29347,English,1088,Grow Brooklyn - Riseboro Community Partnership Wykoff,2022-03-20T00:01:11.977036
1815,Required,true,0101000020E6100000EF8CB62A89FB54C039EE940ED6754240,2020-01-10T19:32:31.694743,18 JAN 2022 - 15 APR 2022,"5448 N Highway US 25E Suite A
Barbourville, KY 40906
606-546-3152
Volunteer Prepared Taxes",,1326,English,1080,KCEOC Central Office,2022-01-23T00:00:59.536909
3101,Not Required,false,0101000020E610000020628385939A5EC06744696FF0E34240,2020-02-25T16:46:43.963639,08 FEB 2022 - 12 APR 2022,"198 Mcallister St
Room LBM
San Francisco, CA 94102
Volunteer Prepared Taxes",TUE 5:00PM-7:00PM,4849,English,1088,UC Hastings College Of The Law,2022-03-20T00:00:42.527354
13,Required,false,0101000020E6100000D25625917D9F5EC043705CC64DD14240,2020-01-10T19:32:16.4605,07 FEB 2022 - 20 APR 2022,"1809 Palmetto Ave
Pacifica, CA 94044
650-738-7470
Volunteer Prepared Taxes",,13158,"English,Spanish,Chinese",1088,Pacifica Resource Center,2022-03-20T00:00:42.704041
