,id,appointment_info,archived,coordinates,created_at,dates,details,hours,irs_id,languages,last_scrape_id,name,updated_at,lat_long,longitude,latitude
29,48,Not Required,False,0101000020E61000007FC2D9AD65855EC04E469561DCB14240,2020-01-10T19:32:16.762299,05 MAR 2022 - 16 APR 2022,"585 Franklin Street
Volunteer Prepared and Self-Prep
Mountain View, CA 94041
Volunteer Prepared Taxes",SAT 10:15AM-12:15PM,24822,English,1088,Mountain View Public Library,2022-03-20T00:00:42.967996,POINT (-122.084331 37.389538),-122.084331,37.389538
31,3136,Not Required,False,0101000020E610000059FCA6B0526A5EC05839B4C876904240,2020-02-25T16:46:44.806029,31 JAN 2022 - 04 APR 2022,"17666 Crest Ave
Morgan Hill, CA 95037
Volunteer Prepared Taxes",MON 10:00AM-5:00PM,13121,"English,Spanish",1088,Boys and Girls Club,2022-03-20T00:00:43.207413,POINT (-121.661297 37.128625),-121.661297,37.128625
32,5036,Required,False,0101000020E6100000BAF8DB9E205B5EC09276A38FF91C4340,2021-03-07T00:00:23.251471,07 FEB 2022 - 30 SEP 2022,"26675 N Sacramento Blvd
Thornton, CA 95686
209-468-1784
Volunteer Prepared Taxes",,12032,"English,Spanish",1088,Thornton Community Center,2022-03-20T00:00:43.216633,POINT (-121.423866 38.226366),-121.423866,38.226366
33,7064,Required,False,0101000020E610000099B8551003715EC096438B6CE7534340,2022-01-30T00:00:45.605343,04 FEB 2022 - 15 APR 2022,"2001 East Street
Woodland, CA 95776
530-661-2000
Volunteer Prepared Taxes",,31008,English,1088,CRVC Woodland Senior Center - VITA Only,2022-03-20T00:00:43.254431,POINT (-121.765812 38.6555),-121.765812,38.6555
34,6089,Required,False,0101000020E610000002F390291F5E5EC0BEF73768AF464340,2021-12-26T00:00:41.883988,13 FEB 2022 - 13 APR 2022,"6000 J Street
Sacramento, CA 95819
800-500-4931
Volunteer Prepared Taxes",,24330,English,1088,CRVC CSU Sacramento,2022-03-20T00:00:43.319338,POINT (-121.470652 38.552228),-121.470652,38.552228
35,7065,Required,False,0101000020E61000002D228AC91B6E5EC0774D486B0C664340,2022-01-30T00:00:45.729069,01 FEB 2022 - 18 APR 2022,"9586 Mill Street
Knights Landing, CA 95645
530-661-5519
Volunteer Prepared Taxes",,29731,"English,Spanish",1088,CRVC Empower Yolo - Knights Landing,2022-03-20T00:00:43.374288,POINT (-121.720446 38.797254),-121.720446,38.797254
36,3156,Required,False,0101000020E61000000B444FCAA4535EC0718E3A3AAE484340,2020-02-25T16:46:45.14215,08 FEB 2022 - 09 APR 2022,"10389 Old Placerville Road
Sacramento, CA 95827
800-500-4931
Volunteer Prepared Taxes",,27658,English,1088,CRVC United Way Califonia Capital Region,2022-03-20T00:00:43.396457,POINT (-121.306933 38.567817),-121.306933,38.567817
37,4659,Required,False,0101000020E610000023C0E95DBC765EC042EC4CA1F34A4240,2021-01-31T00:00:16.416984,05 FEB 2022 - 09 APR 2022,"60 Garden Ct
#350
Monterey, CA 93940
831-757-3206
Volunteer Prepared Taxes",,28774,"English,Spanish",1088,UWMC Monterey,2022-03-20T00:00:43.53255,POINT (-121.855247 36.58556),-121.855247,36.58556
38,7066,Required,False,0101000020E6100000910DA48B4D335EC0D656EC2FBB5D4340,2022-01-30T00:00:45.888383,04 FEB 2022 - 15 APR 2022,"937 Spring St
Placerville, CA 95667
530-497-0380
Volunteer Prepared Taxes",,29587,English,1088,CRVC Placerville Senior Center,2022-03-20T00:00:43.60732,POINT (-120.801608 38.732275),-120.801608,38.732275
39,6834,Required,False,0101000020E6100000431EC18D94C65DC08448861C5BAD4140,2022-01-23T00:00:39.897084,05 FEB 2022 - 26 MAR 2022,"9001 Stockdale Highway
Bakersfield, CA 93311
661-654-3098
Volunteer Prepared Taxes",,26474,"English,Spanish",1088,California State Universtiy Bakersfield,2022-03-20T00:00:44.0351,POINT (-119.102817 35.354343),-119.102817,35.354343
40,4662,Required,False,0101000020E6100000DA1EBDE13EA65DC0DEACC1FBAA1A4140,2021-01-31T00:00:16.660601,01 FEB 2022 - 15 OCT 2022,"21400 SATICOY STREET
2nd FLOOR
For Appoitment Call (818) 887-3872 Ext 400
Canoga Park, CA 91304
818-887-3872
Volunteer Prepared Taxes",,28638,"English,Spanish",1088,NEW ECONOMICS FOR WOMEN - CANOGA PARK,2022-03-20T00:00:44.253034,POINT (-118.597588 34.208343),-118.597588,34.208343
41,7067,Required,False,0101000020E61000003AB187F6B1865DC08E59F624B00F4140,2022-01-30T00:00:46.894373,01 FEB 2022 - 15 APR 2022,"2323 Huntington Drive
San Marino, CA 91108
626-995-0719
Volunteer Prepared Taxes",,29918,"English,Spanish,Tagalog",1088,KMA Auto Corporation San Marino,2022-03-20T00:00:44.65971,POINT (-118.104612 34.122563),-118.104612,34.122563
42,3222,Not Required,False,0101000020E610000056F2B1BB40765DC06F641EF983054140,2020-02-25T16:46:46.60017,26 FEB 2022 - 16 APR 2022,"1100 North Grand Ave
Bldg 79-3200B
Walnut, CA 91789
Volunteer Prepared Taxes",SAT 9:00AM-3:00PM,23335,"English,Spanish,Chinese",1088,Mount San Antonio College (Mt. SAC),2022-03-20T00:00:44.912123,POINT (-117.847701 34.04309),-117.847701,34.04309
43,4737,Not Required,False,0101000020E61000008C834BC79CFC57C00262122EE4A14440,2021-01-31T00:00:19.807068,05 FEB 2022 - 26 MAR 2022,"2500 California Plaza
Omaha, NE 68178
Volunteer Prepared Taxes",SAT 9:00AM-5:00PM,694,English,1088,Creighton University- Mike and Josie Harper Center,2022-03-20T00:00:50.188279,POINT (-95.947069 41.264776),-95.947069,41.264776
44,3517,Required,False,0101000020E6100000A22AA6D24FB857C0AB798EC8776F4240,2020-02-25T16:46:52.479691,02 FEB 2022 - 13 APR 2022,"217 W Steve Owens Blvd
Attn: Lisa Thorpe
Miami, OK 74354
918-253-4683
Volunteer Prepared Taxes",,7019,English,1088,NEOCAA Miami,2022-03-20T00:00:51.722064,POINT (-94.879872 36.870843),-94.879872,36.870843
45,1241,Not Required,False,0101000020E610000098DC28B2D6C356C0672C9ACE4EB44040,2020-01-10T19:32:26.833454,25 JAN 2022 - 18 APR 2022,"215 S Broadway Street
Greenville, MS 38701
Volunteer Prepared Taxes","TUE 9:00AM-4:00PM
THU 9:00AM-4:00PM",25995,"English,Spanish",1088,Southern Bancorp - Greenville,2022-03-20T00:00:55.109738,POINT (-91.059979 33.408655),-91.059979,33.408655
46,1603,Required,False,0101000020E61000002FC37FBA810956C0702711E15FAC3E40,2020-01-10T19:32:29.948379,28 JAN 2022 - 15 APR 2022,"300 F Azalea Rd
Mobile, AL 36609
251-300-6278
Volunteer Prepared Taxes",,13369,English,1088,Goodwill Gulf Coast - Azalea Rd,2022-03-20T00:00:58.680299,POINT (-88.148543 30.673338),-88.148543,30.673338
47,1880,Required,False,0101000020E6100000915F3FC4069A54C098158A743F074440,2020-01-10T19:32:32.248141,31 JAN 2022 - 11 APR 2022,"101 W Main Street
Newark, OH 43055
740-345-1970
Volunteer Prepared Taxes",,22586,English,1088,LCCH @ Newark Public Library,2022-03-20T00:01:01.068994,POINT (-82.406663 40.056624),-82.406663,40.056624
48,1931,Required,False,0101000020E6100000CAFE791A308854C00C21E7FD7F6E4340,2020-01-10T19:32:32.654703,25 JAN 2022 - 14 APR 2022,"700 22nd Street
Drop-Off Site.  Return Visit Required.
Point Pleasant, WV 25550
304-674-8055
Volunteer Prepared Taxes",,7905,English,1088,Southwestern CAC - Mason,2022-03-20T00:01:01.68854,POINT (-82.127936 38.863281),-82.127936,38.863281
49,2106,Required,False,0101000020E610000068D0D03FC12254C0E50AEF7211CB4240,2020-01-10T19:32:34.155112,25 JAN 2022 - 13 OCT 2022,"245 Main Street
Drop-Off Site.  Return Visit Required.
Union, WV 24983
304-772-3381
Volunteer Prepared Taxes",,5431,English,1088,Community Action of South Eastern West Virginia,2022-03-20T00:01:03.91451,POINT (-80.543045 37.58647),-80.543045,37.58647
50,6810,Required,False,0101000020E610000056D28A6F285153C00282397AFC964340,2022-01-09T00:00:46.103235,20 JAN 2022 - 07 APR 2022,"1401 Rockville Pike
STE 320
Rockville, MD 20852
240-777-1123
Volunteer Prepared Taxes",,28408,"English,Russian,Spanish,Chinese,French,German",1088,Community Action Agency MC Germ,2022-03-20T00:01:08.206766,POINT (-77.268093 39.17958),-77.268093,39.17958
51,6812,Required,False,0101000020E6100000608F8994663C53C0548EC9E2FE894340,2022-01-09T00:00:46.336737,20 JAN 2022 - 07 APR 2022,"1401 Rockville Pike
STE 320
Rockville, MD 20852
240-777-1123
Volunteer Prepared Taxes",,28409,"English,Russian,Spanish,Chinese,French,German",1088,Community Action Agency MC EC,2022-03-20T00:01:08.291768,POINT (-76.943761 39.078091),-76.943761,39.078091
52,19,Not Required,False,0101000020E6100000D0D38041D2965EC0CA198A3BDEFA4240,2020-01-10T19:32:16.512651,05 FEB 2022 - 15 APR 2022,"1865 Rumrill Blvd
Suite B
San Pablo, CA 94806
Volunteer Prepared Taxes","FRI 9:00AM-4:00PM
SAT 9:00AM-4:00PM",4888,"English,Spanish",1088,Lao Family Community Dev - CCC,2022-03-20T00:00:42.77262,POINT (-122.356583 37.959907),-122.356583,37.959907
53,35,Not Required,False,0101000020E61000003AE97DE36B895EC0DE21C50089064340,2020-01-10T19:32:16.655459,08 FEB 2022 - 14 APR 2022,"480 Military East
Benicia, CA 94510
Volunteer Prepared Taxes","TUE 9:00AM-4:00PM
THU 9:00AM-4:00PM",7131,"English,Tagalog",1088,Benicia Community Action Council,2022-03-20T00:00:42.875636,POINT (-122.14721 38.051056),-122.14721,38.051056
56,59,Required,False,0101000020E61000005FEE93A3007D5EC064213A048EB04240,2020-01-10T19:32:16.85677,06 FEB 2022 - 27 MAR 2022,"1177 Laurelwood Road
Room G10
Santa Clara, CA 95054
408-567-0877
Volunteer Prepared Taxes",,1183,"English,Mandarin,Chinese",1088,River of Life Foundation,2022-03-20T00:00:43.004603,POINT (-121.953164 37.379334),-121.953164,37.379334
57,4636,Required,False,0101000020E6100000C2FA3F87F93B5EC026378AAC35DE4240,2020-07-19T00:00:06.10194,01 OCT 2021 - 30 SEP 2022,"3218 Santa Fe St
Ste B
Volunteer Prepared and Self-Prep
Riverbank, CA 95367
209-896-3055
Volunteer Prepared Taxes",,24592,"English,Spanish",1088,Central Valley Community Resourses Mobile,2022-03-20T00:00:43.384981,POINT (-120.937105 37.736013),-120.937105,37.736013
58,7201,Required,False,0101000020E6100000C8091346B3EE5DC0FED7B969335E4240,2022-02-27T00:01:20.276418,04 FEB 2022 - 15 APR 2022,"4949 E Kings Canyo Rd
Volunteer Prepared and Self-Prep
Fresno, CA 93727
866-559-4211
Self-Prep Taxes Only",,31012,"English,Spanish",1088,UWFM Spark Point FSA VITA,2022-03-20T00:00:43.781201,POINT (-119.729692 36.735944),-119.729692,36.735944
59,6835,Not Required,False,0101000020E6100000DCD5ABC8E8BD5DC003CE52B29CB04140,2022-01-23T00:00:39.934916,17 FEB 2022 - 02 APR 2022,"2200 Quincy St
Bakersfield, CA 93306
Volunteer Prepared Taxes","THU 4:00PM-8:00PM
SAT 10:00AM-5:00PM",26258,"English,Spanish",1088,UWK Mobile - East Bakersfield High School,2022-03-20T00:00:44.083343,POINT (-118.967333 35.379782),-118.967333,35.379782
60,311,Not Required,False,0101000020E61000000F7EE200FA6F5DC0202A8D98D9054140,2020-01-10T19:32:18.919529,05 FEB 2022 - 09 APR 2022,"1420 S Garey Ave
Pomona, CA 91766
Volunteer Prepared Taxes",SAT 10:00AM-4:00PM,6656,"English,Spanish,Chinese,Vietnamese",1088,Boys and Girls Club of Pomona Valley,2022-03-20T00:00:44.96753,POINT (-117.749634 34.045703),-117.749634,34.045703
62,3229,Required,False,0101000020E6100000D384ED2763805DC02CA0504F1FE54040,2020-02-25T16:46:46.712217,08 FEB 2022 - 14 APR 2022,"11870 Monarch Street
Garden Grove, CA 92841
714-944-3222
Volunteer Prepared Taxes",,26647,"English,Spanish,Vietnamese",1088,CAP OC Monarch Street,2022-03-20T00:00:45.005149,POINT (-118.006052 33.790018),-118.006052,33.790018
65,321,Required,False,0101000020E6100000282A1BD654805DC09604A8A965E14040,2020-01-10T19:32:19.002513,12 FEB 2022 - 09 APR 2022,"7101 Wyoming Street
Westminster, CA 92683
714-278-4679
Volunteer Prepared Taxes",,1484,"English,Spanish,Vietnamese",1088,"Abrazar, Inc.",2022-03-20T00:00:45.056007,POINT (-118.005178 33.760915),-118.005178,33.760915
66,4672,Not Required,False,0101000020E61000008DD0CFD4EB205DC0AA0CE36E10FB4040,2021-01-31T00:00:17.387841,08 FEB 2022 - 15 APR 2022,"65753 Pierson Blvd
Desert Hot Springs, CA 92240
Volunteer Prepared Taxes","MON 9:00AM-1:00PM
TUE 9:00AM-1:00PM
WED 9:00AM-1:00PM
THU 9:00AM-1:00PM",28056,"English,Spanish",1088,DPSS - Desert Hot Springs,2022-03-20T00:00:45.559034,POINT (-116.514394 33.961439),-116.514394,33.961439
67,4963,Required,False,0101000020E6100000022EC896E5E45CC0F241CF66D5694040,2021-02-07T00:00:21.504519,24 JAN 2022 - 15 APR 2022,"836 N. Imperial Ave.
El Centro, CA 92243
000-000-0211
Volunteer Prepared Taxes",,28715,"English,Spanish",1088,Dreams for Change - Imperial Valley,2022-03-20T00:00:46.0125,POINT (-115.576513 32.826825),-115.576513,32.826825
68,4676,Required,False,0101000020E6100000698A00A777B35EC011E0F42EDEBD4640,2021-01-31T00:00:17.611673,29 JAN 2022 - 15 APR 2022,"12350 SW 5th Ave
Ste 100
Beaverton, OR 97005
Volunteer Prepared Taxes",,28619,"English,Spanish,Virtual Interpreter Services",1088,CASH Oregon Beaverton,2022-03-20T00:00:46.090647,POINT (-122.804178 45.483343),-122.804178,45.483343
69,3276,Not Required,False,0101000020E61000000470B378B1A85CC0D333BDC4585C4040,2020-02-25T16:46:47.772575,18 JAN 2022 - 07 APR 2022,"300 S 13th Ave
Yuma, AZ 85364
Volunteer Prepared Taxes","TUE 6:00PM-8:00PM
THU 6:00PM-8:00PM",27500,"English,Spanish",1088,DFATS Martin Luther King Jr Center,2022-03-20T00:00:46.228962,POINT (-114.635832 32.721459),-114.635832,32.721459
70,3298,Required,False,0101000020E6100000A452EC681CC55EC05E8429CAA58F4740,2020-02-25T16:46:48.299972,14 FEB 2022 - 08 APR 2022,"10 SE Squaxin Lane
Shelton, WA 98584
360-432-3871
Volunteer Prepared Taxes",,14240,English,1088,Squaxin Island Tribe VITA,2022-03-20T00:00:46.83621,POINT (-123.079859 47.122247),-123.079859,47.122247
71,4133,Required,False,0101000020E610000081EA1F4432A953C0F819170E84104240,2020-02-25T16:47:06.181662,04 FEB 2022 - 15 APR 2022,"2197 Moss Hayes Rd
Mt Vernon Missionary Baptist Church
Creedmoor, NC 27522
919-528-2715
Volunteer Prepared Taxes",,1899,English,1088,Helping Hand VITA,2022-03-20T00:01:07.191002,POINT (-78.643693 36.12903),-78.643693,36.12903
72,4924,Required,False,0101000020E6100000983446EBA88852C02C4833164D514440,2021-01-31T00:00:32.02966,24 JAN 2022 - 15 APR 2022,"260 Port Richmond Avenue
Staten Island, NY 10302
646-981-6111
Volunteer Prepared Taxes",,28904,"English,Spanish",1088,Foodbanknyc-El Centro del Inmigrante,2022-03-20T00:01:11.18119,POINT (-74.13531 40.635165),-74.13531,40.635165
73,4282,Required,False,0101000020E61000005342B0AA5E0954C09F7422C1549F3A40,2020-02-25T16:47:10.113281,24 JAN 2022 - 18 APR 2022,"3750 Jog Road
Greenacres, FL 33467
Volunteer Prepared Taxes",,4079,"Spanish,English",1088,PBC Greenacres Library Branch,2022-03-20T00:01:11.312764,POINT (-80.146403 26.622387),-80.146403,26.622387
74,2883,Required,False,0101000020E6100000B4588AE42B7C52C0D3A1D3F36E524440,2020-01-10T19:32:40.68014,29 JAN 2022 - 09 APR 2022,"526 E 39th Street
Brooklyn, NY 11203
631-464-7304
Volunteer Prepared Taxes",,23373,English,1088,Eileen M Payne Inc VITA,2022-03-20T00:01:11.931406,POINT (-73.940179 40.644011),-73.940179,40.644011
76,7163,Required,False,0101000020E6100000871403249A7A52C012143FC6DC594440,2022-02-06T00:00:57.598094,05 FEB 2022 - 17 APR 2022,"217 Wyckoff Avenue
Brooklyn, NY 11237
347-682-5606
Volunteer Prepared Taxes",,29347,English,1088,Grow Brooklyn - Riseboro Community Partnership Wykoff,2022-03-20T00:01:11.977036,POINT (-73.915658 40.70205),-73.915658,40.70205
78,3101,Not Required,False,0101000020E610000020628385939A5EC06744696FF0E34240,2020-02-25T16:46:43.963639,08 FEB 2022 - 12 APR 2022,"198 Mcallister St
Room LBM
San Francisco, CA 94102
Volunteer Prepared Taxes",TUE 5:00PM-7:00PM,4849,English,1088,UC Hastings College Of The Law,2022-03-20T00:00:42.527354,POINT (-122.415254 37.780775),-122.415254,37.780775
79,13,Required,False,0101000020E6100000D25625917D9F5EC043705CC64DD14240,2020-01-10T19:32:16.4605,07 FEB 2022 - 20 APR 2022,"1809 Palmetto Ave
Pacifica, CA 94044
650-738-7470
Volunteer Prepared Taxes",,13158,"English,Spanish,Chinese",1088,Pacifica Resource Center,2022-03-20T00:00:42.704041,POINT (-122.492039 37.635186),-122.492039,37.635186
80,15,Not Required,False,0101000020E6100000A0DE8C9AAF8C5EC0FBE769C020E14240,2020-01-10T19:32:16.476944,05 FEB 2022 - 09 APR 2022,"1034 66Th Avenue
Oakland, CA 94621
Volunteer Prepared Taxes",SAT 8:00AM-11:00AM,7692,English,1088,ACTS Full Gospel,2022-03-20T00:00:42.722345,POINT (-122.198218 37.758812),-122.198218,37.758812
81,6822,Not Required,False,0101000020E61000004833164D678C5EC057790261A7DE4240,2022-01-23T00:00:38.929079,08 FEB 2022 - 05 APR 2022,"8480 Edes Ave
Oakland, CA 94621
Volunteer Prepared Taxes",TUE 8:30AM-5:00PM,29602,English,1088,Lao Family CARE Campus,2022-03-20T00:00:42.740998,POINT (-122.193805 37.739483),-122.193805,37.739483
82,24,Required,False,0101000020E6100000C30DF8FC30885EC06DFDF49F35D74240,2020-01-10T19:32:16.560536,02 FEB 2022 - 16 APR 2022,"15903 Hesperian Blvd
San Lorenzo, CA 94580
510-271-9141
Volunteer Prepared Taxes",,23392,"English,Chinese,Spanish",1088,San Lorenzo Office of Sup Dave Brown,2022-03-20T00:00:42.791239,POINT (-122.12799 37.681324),-122.12799,37.681324
83,26,Not Required,False,0101000020E6100000FF23D3A1D3A25EC0B58993FB1D004340,2020-01-10T19:32:16.578142,04 FEB 2022 - 15 APR 2022,"555 Northgate Drive
Suite 201
San Rafael, CA 94903
Volunteer Prepared Taxes",FRI 9:00AM-4:00PM,8294,"Spanish,English",1088,Community Action Marin,2022-03-20T00:00:42.809588,POINT (-122.544167 38.000915),-122.544167,38.000915
84,36,Required,False,0101000020E610000074ED0BE885905EC02D414640850D4340,2020-01-10T19:32:16.663097,01 FEB 2022 - 08 APR 2022,"925 Sacramento St
Vallejo, CA 94591
Volunteer Prepared Taxes",,2659,"Tagalog,English",1088,St. Vincent Ferrer Church,2022-03-20T00:00:42.884872,POINT (-122.258173 38.105629),-122.258173,38.105629
85,40,Required,False,0101000020E61000007EC51A2E72795EC061376C5B94D94240,2020-01-10T19:32:16.694884,09 FEB 2022 - 13 APR 2022,"5860 Owens Drive
3rd Floor
ITIN Certifying Acceptance Agent
Pleasanton, CA 94588
925-416-5100
Volunteer Prepared Taxes",,20334,"English,Spanish,Farsi,Mandarin",1088,Tri-Valley Career Center,2022-03-20T00:00:42.940312,POINT (-121.897594 37.69984),-121.897594,37.69984
86,4977,Required,False,0101000020E61000007A1B9B1DA9A85EC0A0185932C7DE4440,2021-02-14T00:00:20.433126,28 JAN 2022 - 08 APR 2022,"810 N Oregon St
Yreka, CA 96097
888-926-6670
Volunteer Prepared Taxes",,15502,English,1088,JEDI Yreka VITA Site,2022-03-20T00:00:44.139855,POINT (-122.635322 41.740454),-122.635322,41.740454
87,4663,Required,False,0101000020E6100000E36C3A02B89C5DC0FAD005F52D194140,2021-01-31T00:00:16.703139,02 FEB 2022 - 15 APR 2022,"6946 Van Nuys Blvd
Suite 220
Van Nuys, CA 91405
818-786-4098
Volunteer Prepared Taxes",,28640,"English,Spanish",1088,New Economics for Women - Van Nuys,2022-03-20T00:00:44.321552,POINT (-118.448731 34.196715),-118.448731,34.196715
89,6123,Required,False,0101000020E61000005ED6C4025F7D5DC06F641EF983E94040,2021-12-26T00:00:43.889729,21 FEB 2022 - 14 APR 2022,"631 S. Brookhurst St.
Suite #107
Self-Prep Taxes Only
Anaheim, CA 92804
714-917-0440
Self-Prep Taxes Only",,18195,"English,Spanish,Arabic,Farsi,Hindi,Korean",1088,Access California Services FSA Stand-Alone,2022-03-20T00:00:44.995758,POINT (-117.958924 33.82434),-117.958924,33.82434
