ZCTA5,City,State,County,Org ID,United Way,#e-filed returns
01069,Palmer,MA,Hampden,23430F,United Way of Pioneer Valley,2.0
01070,Plainfield,MA,Hampshire,23350U,United Way of Hampshire County,1.0
01075,South Hadley,MA,Hampshire,23430F,United Way of Pioneer Valley,5.0
01077,Southwick,MA,Hampden,23430F,United Way of Pioneer Valley,3.0
01082,Ware,MA,Hampshire,23350U,United Way of Hampshire County,10.0
01083,Warren,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01085,Westfield,MA,Hampden,23430F,United Way of Pioneer Valley,4.0
01089,West Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,13.0
01095,Wilbraham,MA,Hampden,23430F,United Way of Pioneer Valley,1.0
01096,Williamsburg,MA,Hampshire,23350U,United Way of Hampshire County,1.0
01098,Worthington,MA,Hampshire,23350U,United Way of Hampshire County,2.0
01103,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,2.0
01104,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,21.0
01105,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,5.0
01106,Longmeadow,MA,Hampden,23430F,United Way of Pioneer Valley,3.0
01107,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,10.0
01108,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,27.0
01109,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,18.0
01118,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,5.0
01119,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,10.0
01128,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,3.0
01129,Springfield,MA,Hampden,23430F,United Way of Pioneer Valley,4.0
01151,Indian Orchard,MA,Hampden,23430F,United Way of Pioneer Valley,11.0
01201,Pittsfield,MA,Berkshire,23380U,Berkshire United Way,33.0
01220,Adams,MA,Berkshire,23330U,Northern Berkshire United Way,1.0
01222,Ashley Falls,MA,Berkshire,23380U,Berkshire United Way,1.0
01223,Becket,MA,Hampden,23380U,Berkshire United Way,1.0
01226,Dalton,MA,Berkshire,23380U,Berkshire United Way,4.0
01230,Great Barrington,MA,Berkshire,23380U,Berkshire United Way,8.0
01235,Hinsdale,MA,Berkshire,23380U,Berkshire United Way,4.0
01238,Lee,MA,Berkshire,23380U,Berkshire United Way,2.0
01240,Lenox,MA,Berkshire,23380U,Berkshire United Way,2.0
01242,Lenox Dale,MA,Berkshire,23380U,Berkshire United Way,1.0
01244,Mill River,MA,Berkshire,23380U,Berkshire United Way,1.0
01245,Monterey,MA,Berkshire,23380U,Berkshire United Way,2.0
01247,North Adams,MA,Berkshire,23330U,Northern Berkshire United Way,9.0
01257,Sheffield,MA,Berkshire,23380U,Berkshire United Way,3.0
01259,Southfield,MA,Berkshire,23380U,Berkshire United Way,3.0
01266,West Stockbridge,MA,Berkshire,23380U,Berkshire United Way,1.0
01267,Williamstown,MA,Berkshire,23330U,Northern Berkshire United Way,2.0
01301,Greenfield,MA,Franklin,23230F,"United Way of Franklin County, Inc.",22.0
01330,Ashfield,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01331,Athol,MA,Worcester,23015F,United Way of North Central Mass. (Athol),3.0
01337,Bernardston,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01340,Colrain,MA,Franklin,23230F,"United Way of Franklin County, Inc.",2.0
01341,Conway,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01344,Erving,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01346,Heath,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01349,Millers Falls,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01350,Monroe Bridge,MA,Franklin,23230F,"United Way of Franklin County, Inc.",2.0
01351,Montague,MA,Franklin,23230F,"United Way of Franklin County, Inc.",3.0
01354,Gill,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01355,New Salem,MA,Franklin,23230F,"United Way of Franklin County, Inc.",2.0
01360,Northfield,MA,Franklin,23230F,"United Way of Franklin County, Inc.",2.0
01364,Orange,MA,Franklin,23230F,"United Way of Franklin County, Inc.",3.0
01366,Petersham,MA,Franklin,23015F,United Way of North Central Mass. (Athol),2.0
01367,Rowe,MA,Franklin,23230F,"United Way of Franklin County, Inc.",1.0
01368,Royalston,MA,Worcester,23015F,United Way of North Central Mass. (Athol),1.0
01370,Shelburne Falls,MA,Franklin,23230F,"United Way of Franklin County, Inc.",3.0
01373,South Deerfield,MA,Franklin,23230F,"United Way of Franklin County, Inc.",2.0
01375,Sunderland,MA,Franklin,23230F,"United Way of Franklin County, Inc.",5.0
01376,Turners Falls,MA,Franklin,23230F,"United Way of Franklin County, Inc.",2.0
01379,Wendell,MA,Franklin,23230F,"United Way of Franklin County, Inc.",2.0
01420,Fitchburg,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",11.0
01430,Ashburnham,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",3.0
01431,Ashby,MA,Middlesex,23180U,"United Way of North Central Mass., Inc.",1.0
01432,Ayer,MA,Middlesex,23180U,"United Way of North Central Mass., Inc.",2.0
01434,Devens,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",4.0
01438,East Templeton,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",1.0
01440,Gardner,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",6.0
01450,Groton,MA,Middlesex,23180U,"United Way of North Central Mass., Inc.",1.0
01453,Leominster,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",8.0
01462,Lunenburg,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",2.0
01463,Pepperell,MA,Middlesex,23180U,"United Way of North Central Mass., Inc.",3.0
01475,Winchendon,MA,Worcester,23180U,"United Way of North Central Mass., Inc.",2.0
01501,Auburn,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01503,Berlin,MA,Worcester,23200U,"United Way of Tri-County, Inc.",6.0
01504,Blackstone,MA,Worcester,23200U,"United Way of Tri-County, Inc.",1.0
01507,Charlton,MA,Worcester,23420F,"United Way of Southbridge, Sturbridge and Charlton, Inc.",1.0
01510,Clinton,MA,Worcester,23200U,"United Way of Tri-County, Inc.",4.0
01516,Douglas,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01520,Holden,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01523,Lancaster,MA,Worcester,23200U,"United Way of Tri-County, Inc.",1.0
01524,Leicester,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01527,Millbury,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01529,Millville,MA,Worcester,23200U,"United Way of Tri-County, Inc.",1.0
01532,Northborough,MA,Worcester,23200U,"United Way of Tri-County, Inc.",2.0
01534,Northbridge,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01535,North Brookfield,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01536,North Grafton,MA,Worcester,23520U,United Way of Central Massachusetts,3.0
01537,North Oxford,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01540,Oxford,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01545,Shrewsbury,MA,Worcester,23520U,United Way of Central Massachusetts,4.0
01562,Spencer,MA,Worcester,23520U,United Way of Central Massachusetts,3.0
01566,Sturbridge,MA,Worcester,23420F,"United Way of Southbridge, Sturbridge and Charlton, Inc.",4.0
01568,Upton,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01569,Uxbridge,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01585,West Brookfield,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01602,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,4.0
01603,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,3.0
01604,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,16.0
01605,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,5.0
01606,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,4.0
01607,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,1.0
01608,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01609,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,6.0
01610,Worcester,MA,Worcester,23520U,United Way of Central Massachusetts,5.0
01612,Paxton,MA,Worcester,23520U,United Way of Central Massachusetts,2.0
01701,Framingham,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",8.0
01702,Framingham,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",3.0
01720,Acton,MA,Middlesex,23009F,United Way of Acton-Boxborough,2.0
01731,Hanscom AFB,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01741,Carlisle,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01742,Concord,MA,Middlesex,23009F,United Way of Acton-Boxborough,1.0
01746,Holliston,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",3.0
01747,Hopedale,MA,Worcester,23200U,"United Way of Tri-County, Inc.",1.0
01748,Hopkinton,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",1.0
01749,Hudson,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",7.0
01752,Marlborough,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",25.0
01754,Maynard,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",5.0
01757,Milford,MA,Worcester,23200U,"United Way of Tri-County, Inc.",7.0
01760,Natick,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
01772,Southborough,MA,Worcester,23200U,"United Way of Tri-County, Inc.",2.0
01775,Stow,MA,Middlesex,23200U,"United Way of Tri-County, Inc.",2.0
01776,Sudbury,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
01778,Wayland,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01801,Woburn,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
01803,Burlington,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,6.0
01810,Andover,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01821,Billerica,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,30.0
01824,Chelmsford,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,4.0
01826,Dracut,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,9.0
01830,Haverhill,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,9.0
01832,Haverhill,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,14.0
01833,Georgetown,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01834,Groveland,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01835,Haverhill,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,6.0
01840,Lawrence,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
01841,Lawrence,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,86.0
01843,Lawrence,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,40.0
01844,Methuen,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,27.0
01845,North Andover,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
01850,Lowell,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
01851,Lowell,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,10.0
01852,Lowell,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,11.0
01854,Lowell,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
01860,Merrimac,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01862,North Billerica,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01863,North Chelmsford,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01864,North Reading,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01876,Tewksbury,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,14.0
01879,Tyngsboro,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01880,Wakefield,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
01886,Westford,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,4.0
01887,Wilmington,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,4.0
01890,Winchester,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01902,Lynn,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,4.0
01904,Lynn,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01905,Lynn,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,4.0
01906,Saugus,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
01907,Swampscott,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01913,Amesbury,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01915,Beverly,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,14.0
01923,Danvers,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
01930,Gloucester,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
01938,Ipswich,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01940,Lynnfield,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01945,Marblehead,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
01950,Newburyport,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01951,Newbury,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01952,Salisbury,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01960,Peabody,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,4.0
01966,Rockport,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
01970,Salem,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,12.0
01982,South Hamilton,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
01983,Topsfield,MA,Essex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02019,Bellingham,MA,Norfolk,23200U,"United Way of Tri-County, Inc.",4.0
02021,Canton,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,6.0
02025,Cohasset,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02026,Dedham,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02030,Dover,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02035,Foxboro,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02038,Franklin,MA,Norfolk,23200U,"United Way of Tri-County, Inc.",4.0
02043,Hingham,MA,Plymouth,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
02048,Mansfield,MA,Bristol,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
02050,Marshfield,MA,Plymouth,23090F,United Way of Greater Plymouth County,2.0
02052,Medfield,MA,Norfolk,23200U,"United Way of Tri-County, Inc.",1.0
02053,Medway,MA,Norfolk,23200U,"United Way of Tri-County, Inc.",4.0
02056,Norfolk,MA,Norfolk,23200U,"United Way of Tri-County, Inc.",1.0
02061,Norwell,MA,Plymouth,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02062,Norwood,MA,Norfolk,23200U,"United Way of Tri-County, Inc.",4.0
02067,Sharon,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
02072,Stoughton,MA,Norfolk,23090F,United Way of Greater Plymouth County,2.0
02081,Walpole,MA,Norfolk,23200U,"United Way of Tri-County, Inc.",1.0
02111,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02113,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02114,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02115,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,11.0
02116,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
02118,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02119,Roxbury,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,15.0
02120,Roxbury Crossing,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,6.0
02121,Dorchester,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,13.0
02122,Dorchester,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,7.0
02124,Dorchester Center,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,21.0
02125,Dorchester,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,12.0
02126,Mattapan,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,6.0
02127,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
02128,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,15.0
02129,Charlestown,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02130,Jamaica Plain,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,38.0
02131,Roslindale,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,10.0
02132,West Roxbury,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02134,Allston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,24.0
02135,Brighton,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,26.0
02136,Hyde Park,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
02138,Cambridge,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,18.0
02139,Cambridge,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,31.0
02140,Cambridge,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02141,Cambridge,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02142,Cambridge,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02143,Somerville,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,19.0
02144,Somerville,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,29.0
02145,Somerville,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,10.0
02148,Malden,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,16.0
02149,Everett,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,42.0
02150,Chelsea,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,26.0
02151,Revere,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,22.0
02152,Winthrop,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02155,Medford,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,14.0
02169,Quincy,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,13.0
02170,Quincy,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,9.0
02171,Quincy,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
02176,Melrose,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
02180,Stoneham,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,4.0
02184,Braintree,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,8.0
02186,Milton,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02188,Weymouth,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02189,East Weymouth,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02191,North Weymouth,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02215,Boston,MA,Suffolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,20.0
02301,Brockton,MA,Plymouth,23090F,United Way of Greater Plymouth County,3.0
02302,Brockton,MA,Plymouth,23090F,United Way of Greater Plymouth County,5.0
02324,Bridgewater,MA,Plymouth,23090F,United Way of Greater Plymouth County,5.0
02330,Carver,MA,Plymouth,23090F,United Way of Greater Plymouth County,3.0
02333,East Bridgewater,MA,Plymouth,23090F,United Way of Greater Plymouth County,2.0
02338,Halifax,MA,Plymouth,23090F,United Way of Greater Plymouth County,1.0
02341,Hanson,MA,Plymouth,23090F,United Way of Greater Plymouth County,3.0
02346,Middleboro,MA,Plymouth,23090F,United Way of Greater Plymouth County,6.0
02347,Lakeville,MA,Plymouth,23090F,United Way of Greater Plymouth County,2.0
02351,Abington,MA,Plymouth,23090F,United Way of Greater Plymouth County,2.0
02356,North Easton,MA,Bristol,23090F,United Way of Greater Plymouth County,1.0
02359,Pembroke,MA,Plymouth,23090F,United Way of Greater Plymouth County,1.0
02360,Plymouth,MA,Plymouth,23090F,United Way of Greater Plymouth County,7.0
02368,Randolph,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,9.0
02370,Rockland,MA,Plymouth,23090F,United Way of Greater Plymouth County,2.0
02379,West Bridgewater,MA,Plymouth,23090F,United Way of Greater Plymouth County,2.0
02420,Lexington,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
02421,Lexington,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,3.0
02445,Brookline,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02446,Brookline,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,11.0
02451,Waltham,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02452,Waltham,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02453,Waltham,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,9.0
02458,Newton,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,7.0
02459,Newton Center,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02460,Newtonville,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02461,Newton Highlands,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02465,West Newton,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02466,Auburndale,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02467,Chestnut Hill,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,6.0
02472,Watertown,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,12.0
02474,Arlington,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,5.0
02476,Arlington,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02478,Belmont,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02481,Wellesley Hills,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,2.0
02493,Weston,MA,Middlesex,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02494,Needham Heights,MA,Norfolk,23050F,United Way of Massachusetts Bay and Merrimack Valley,1.0
02534,Cataumet,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",1.0
02536,East Falmouth,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",2.0
02537,East Sandwich,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",2.0
02539,Edgartown,MA,Dukes,23260F,"Cape and Islands United Way, Inc.",2.0
02540,Falmouth,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",4.0
02543,Woods Hole,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",2.0
02554,Nantucket,MA,Nantucket,23260F,"Cape and Islands United Way, Inc.",6.0
02601,Hyannis,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",6.0
02631,Brewster,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",3.0
02632,Centerville,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",2.0
02633,Chatham,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",4.0
02639,Dennis Port,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",2.0
02641,East Dennis,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",1.0
02644,Forestdale,MA,Barnstable,23260F,"Cape and Islands United Way, Inc.",1.0
