"county_name","state_name","Full FIPS Code","#e-filed returns","United Way","Any e-filed returns","STATEFP","COUNTYFP","id","appointment_info","created_at","dates","details","hours","irs_id","languages","name","updated_at","longitude","latitude"
"Noble County","Indiana","18113",53.0,"United Way of Kosciusko County, Inc., United Way of Allen County, United Way of Noble County, Inc., United Way of Whitley County, Inc.","Yes",18.0,113.0,1553.0,"Required","2020-01-10T19:32:29.545111","01 FEB 2022 - 12 APR 2022","221 S. Park Avenue
Kendallville, IN 46755
260-385-6598
Volunteer Prepared Taxes","",24850.0,"English","CC-Kendallville Public Library","2022-03-20T00:00:58.217757",-85.254592,41.441978
"Clark County","Indiana","18019",129.0,"Metro United Way, Inc.","Yes",18.0,19.0,1568.0,"Required","2020-01-10T19:32:29.666154","25 JAN 2022 - 15 OCT 2022","201 East 15th St.
Volunteer Prepared and Self-Prep
Jeffersonville, IN 47130
812-590-4064
Volunteer Prepared Taxes","",2051.0,"English","Community Action Of South Indiana","2022-03-20T00:00:58.329152",-85.747779,38.285956
"Hendricks County","Indiana","18063",145.0,"United Way of Central Indiana","Yes",18.0,63.0,3760.0,"Required","2020-02-25T16:46:57.715946","05 FEB 2022 - 19 MAR 2022","1201 Sycamore Lane
Danville, IN 46122
317-953-3498
Volunteer Prepared Taxes","",28251.0,"English","Hendricks County Senior Center VITA","2022-03-20T00:00:57.161347",-86.501907,39.767714
"Grant County","Indiana","18053",70.0,"United Way of Madison County, Inc., United Way of Grant County, Inc.","Yes","","","","","","","","","","","","","",""
"Jackson County","Indiana","18071",390.0,"Jackson County United Way","Yes",18.0,71.0,6944.0,"Required","2022-01-23T00:00:50.462633","29 JAN 2022 - 15 APR 2022","113 North Chestnut
suite 301
Seymour, IN 47274
812-522-5450
Volunteer Prepared Taxes","",25525.0,"English,Spanish","JCUW- Mobile site","2022-03-20T00:00:57.981993",-85.890134,38.958422
"Owen County","Indiana","18119",271.0,"United Way of Central Indiana, United Way of the Wabash Valley, Inc., United Way of Monroe County, United Way of Putnam County, Inc.","Yes","","","","","","","","","","","","","",""
"Whitley County","Indiana","18183",117.0,"United Way of Kosciusko County, Inc., United Way of Allen County, United Way of Huntington County, Inc., United Way of Whitley County, Inc.","Yes","","","","","","","","","","","","","",""
"Clinton County","Indiana","18023",56.0,"United Way for Clinton County, Inc., United Way of Central Indiana, United Way of Howard County","Yes","","","","","","","","","","","","","",""
"Union County","Indiana","18161",44.0,"United Way of Fayette County, Inc., United Way of Whitewater Valley","Yes","","","","","","","","","","","","","",""
"Dearborn County","Indiana","18029",27.0,"United Way of Greater Cincinnati, United Way of Franklin County","Yes","","","","","","","","","","","","","",""
"Lawrence County","Indiana","18093",46.0,"United Way of South Central Indiana","Yes",18.0,93.0,6941.0,"Required","2022-01-23T00:00:50.025953","07 FEB 2022 - 04 APR 2022","804 W Main Street
Mitchell, IN 47446
812-849-2412
Volunteer Prepared Taxes","",14621.0,"English","Mitchell Public Library","2022-03-20T00:00:57.365095",-86.474723,38.732493
"Lawrence County","Indiana","18093",46.0,"United Way of South Central Indiana","Yes",18.0,93.0,1479.0,"Required","2020-01-10T19:32:28.807035","05 FEB 2022 - 02 APR 2022","1323 K Street
Bedford, IN 47421
812-275-4471
Volunteer Prepared Taxes","",3712.0,"English","Bedford Public Library","2022-03-20T00:00:57.337716",-86.485665,38.864313
"Perry County","Indiana","18123",29.0,"United Way of Perry County, United Way of Southwestern Indiana, Inc.","Yes","","","","","","","","","","","","","",""
"Posey County","Indiana","18129",34.0,"United Way of Southwestern Indiana, Inc., United Way of Posey County, Inc.","Yes",18.0,129.0,7113.0,"Required","2022-01-30T00:00:58.836313","18 FEB 2022 - 08 APR 2022","611 W 8th Street
Mount Vernon, IN 47620
812-838-4656
Volunteer Prepared Taxes","",29656.0,"English","Posey County Council on Aging-TCE","2022-03-20T00:00:56.535846",-87.903585,37.934287
"Carroll County","Indiana","18015",150.0,"White County United Way, Inc., United Way of Cass County, Inc., United Way for Clinton County, Inc., United Way of Greater Lafayette & Tippecanoe County","Yes","","","","","","","","","","","","","",""
"Fountain County","Indiana","18045",22.0,"United Way of Danville Area, Inc.","Yes",18.0,45.0,3730.0,"Not Required","2020-02-25T16:46:57.053721","15 FEB 2022 - 20 APR 2022","418 Washington Street
Covington, IN 47932
Volunteer Prepared Taxes","MON 8:30AM-4:00PM
TUE 8:30AM-4:00PM
WED 8:30AM-4:00PM
THU 8:30AM-4:00PM
FRI 8:30AM-4:00PM",20348.0,"English","CAP of Western IN","2022-03-20T00:00:56.571276",-87.396375,40.137634
"Starke County","Indiana","18149",90.0,"United Way of Greater LaPorte County, United Way of Marshall County, Inc., United Way of St. Joseph County, Inc.","Yes","","","","","","","","","","","","","",""
"Greene County","Indiana","18055",359.0,"United Way of Knox County, United Way of Daviess County, United Way of the Wabash Valley, Inc., United Way of Monroe County, United Way of South Central Indiana","Yes","","","","","","","","","","","","","",""
"Benton County","Iowa","19011",4.0,"United Way of East Central Iowa","Yes","","","","","","","","","","","","","",""
"Dubuque County","Iowa","19061",19.0,"United Way of Dubuque Area Tri-States","Yes",19.0,61.0,1152.0,"Required","2020-01-10T19:32:26.029355","02 FEB 2022 - 13 APR 2022","220 W 7th St
Dubuque, IA 52001
563-513-8229
Volunteer Prepared Taxes","",8390.0,"English","Hawkeye Area Community Action Program, Dubuque","2022-03-20T00:00:54.222416",-90.66695,42.499937
"Pocahontas County","Iowa","19151","","","","","","","","","","","","","","","","",""
"Van Buren County","Iowa","19177",3.0,"United Way of Wapello County","Yes","","","","","","","","","","","","","",""
"Adams County","Iowa","19003",2.0,"United Way of the Midlands","Yes","","","","","","","","","","","","","",""
"Audubon County","Iowa","19009",3.0,"United Way of Carroll, Inc.","Yes","","","","","","","","","","","","","",""
"Davis County","Iowa","19051","","","","","","","","","","","","","","","","",""
"Ida County","Iowa","19093",2.0,"United Way of Siouxland","Yes","","","","","","","","","","","","","",""
"Monroe County","Iowa","19135",3.0,"United Way of Mahaska County","Yes",19.0,135.0,4765.0,"Required","2021-01-31T00:00:21.488639","01 FEB 2022 - 15 APR 2022","203 Washington Avenue East
Albia, IA 52531
641-226-2744
Volunteer Prepared Taxes","",28925.0,"English","UWMC Albia VITA Site","2022-03-20T00:00:52.518831",-92.805742,41.026197
"Sioux County","Iowa","19167",1.0,"United Way of Siouxland","Yes","","","","","","","","","","","","","",""
"Calhoun County","Iowa","19025",2.0,"United Way of Greater Fort Dodge","Yes","","","","","","","","","","","","","",""
"Cerro Gordo County","Iowa","19033",6.0,"United Way of North Central Iowa","Yes",19.0,33.0,940.0,"Required","2020-01-10T19:32:24.191269","07 FEB 2022 - 11 APR 2022","601 S Illinois Avenue
Mason City, IA 50401
641-423-0844
Volunteer Prepared Taxes","",6930.0,"English,Sign Language,Vietnamese,Spanish","ISU Extension - Cerro Gordo County","2022-03-20T00:00:52.349487",-93.171109,43.145926
"Cerro Gordo County","Iowa","19033",6.0,"United Way of North Central Iowa","Yes",19.0,33.0,3549.0,"Required","2020-02-25T16:46:52.985941","22 MAR 2022 - 15 APR 2022","600 South Pierce Avenue
Mason City, IA 50401
641-423-7766
Volunteer Prepared Taxes","",6929.0,"English,Virtual Interpreter Services","IowaWORKS North Iowa","2022-03-20T00:00:52.304515",-93.221024,43.146435
"Cerro Gordo County","Iowa","19033",6.0,"United Way of North Central Iowa","Yes",19.0,33.0,936.0,"Required","2020-01-10T19:32:24.158624","03 FEB 2022 - 15 APR 2022","100 1st Street NW
Suite 140
Mason City, IA 50401
641-423-7766
Volunteer Prepared Taxes","",6931.0,"English,Spanish,Virtual Interpreter Services","North Iowa Community Action Organization","2022-03-20T00:00:52.322121",-93.20304,43.152657
"Hardin County","Iowa","19083",4.0,"Marshalltown Area United Way","Yes","","","","","","","","","","","","","",""
"Lucas County","Iowa","19117",2.0,"United Way of Wapello County","Yes","","","","","","","","","","","","","",""
"Palo Alto County","Iowa","19147","","","","","","","","","","","","","","","","",""
"Henry County","Iowa","19087",23.0,"United Way of Wapello County, Burlington/W. Burlington Area United Way, United Way of Johnson & Washington Counties, Inc.","Yes","","","","","","","","","","","","","",""
"Jasper County","Iowa","19099",16.0,"United Way of Jasper County, United Way of Story County, Grinnell United Way","Yes",19.0,99.0,930.0,"Required","2020-01-10T19:32:24.111359","01 FEB 2022 - 13 APR 2022","25 W Division St
Colfax Public Library
Colfax, IA 50054
641-792-6433
Volunteer Prepared Taxes","",23544.0,"English","RSVP of Jasper County - Colfax","2022-03-20T00:00:52.250216",-93.245517,41.677087
"Jasper County","Iowa","19099",16.0,"United Way of Jasper County, United Way of Story County, Grinnell United Way","Yes",19.0,99.0,943.0,"Required","2020-01-10T19:32:24.214789","01 FEB 2022 - 13 APR 2022","550 N 2nd Ave W
Newton, IA 50208
641-792-6433
Volunteer Prepared Taxes","",4067.0,"English","RSVP Of Jasper County- Newton","2022-03-20T00:00:52.394637",-93.058807,41.700449
"Poweshiek County","Iowa","19157",9.0,"United Way of Wapello County, United Way of East Central Iowa, Grinnell United Way","Yes",19.0,157.0,990.0,"Required","2020-01-10T19:32:24.636071","05 FEB 2022 - 19 MAR 2022","930 Park Street
Drake Community Library
Grinnell, IA 50112
641-623-5188
Volunteer Prepared Taxes","",1434.0,"English,Spanish","Poweshiek VITA","2022-03-20T00:00:52.646396",-92.72255,41.743681
"Clayton County","Iowa","19043",11.0,"United Way of Dubuque Area Tri-States","Yes","","","","","","","","","","","","","",""
"Bremer County","Iowa","19017",4.0,"Oelwein Area United Way, Waverly-Shell Rock Area United Way, Inc.","Yes",19.0,17.0,6910.0,"Required","2022-01-23T00:00:46.46341","10 FEB 2022 - 22 MAR 2022","720 7th Ave SW
Tripoli, IA 50676
319-882-4275
Volunteer Prepared Taxes","",29724.0,"English","Bremer County Extension VITA","2022-03-20T00:00:52.974791",-92.267434,42.802391
"Emmet County","Iowa","19063",2.0,"United Way of Fairmont, Inc.","Yes","","","","","","","","","","","","","",""
"Hancock County","Iowa","19081",6.0,"United Way of North Central Iowa","Yes","","","","","","","","","","","","","",""
"Jackson County","Iowa","19097","","","",19.0,97.0,1154.0,"Required","2020-01-10T19:32:26.047449","02 FEB 2022 - 13 APR 2022","904 E Quarry Street
Maquoketa, IA 52060
563-652-5197
Volunteer Prepared Taxes","",14318.0,"English","Hawkeye Area Community Action Program, Maquoketa","2022-03-20T00:00:54.241803",-90.65581,42.07082
"Lee County","Iowa","19111",6.0,"United Way of Wapello County, United Way of the Great River Region","Yes",19.0,111.0,1106.0,"Required","2020-01-10T19:32:25.612302","29 JAN 2022 - 09 APR 2022","801 Main Street
Keokuk, IA 52632
319-520-6859
Volunteer Prepared Taxes","",21950.0,"English,Virtual Interpreter Services","United Way of the Great River Region","2022-03-20T00:00:53.897662",-91.385766,40.398124
"Lee County","Iowa","19111",6.0,"United Way of Wapello County, United Way of the Great River Region","Yes",19.0,111.0,1109.0,"Required","2020-01-10T19:32:25.644255","03 FEB 2022 - 09 APR 2022","3421 Avenue L
Fort Madison, IA 52627
319-520-6859
Volunteer Prepared Taxes","",24785.0,"English,Virtual Interpreter Services","United Way Resource Center","2022-03-20T00:00:53.91822",-91.356178,40.626593
"Warren County","Iowa","19181",49.0,"United Way of Central Iowa","Yes","","","","","","","","","","","","","",""
"Mahaska County","Iowa","19123",10.0,"Marion County United Way, United Way of Mahaska County","Yes",19.0,123.0,995.0,"Required","2020-01-10T19:32:24.675884","01 FEB 2022 - 15 APR 2022","102 1St Avenue E
Oskaloosa, IA 52577
641-672-1169
Volunteer Prepared Taxes","",7686.0,"English","United Way of Mahaska County VITA Site","2022-03-20T00:00:52.670485",-92.644993,41.294391
"Clay County","Iowa","19041",1.0,"United Way of Spencer","Yes",19.0,41.0,6889.0,"Required","2022-01-23T00:00:44.702127","03 FEB 2022 - 24 APR 2022","110 W 4th St
Ste 100
Spencer, IA 51301
712-262-2264
Volunteer Prepared Taxes","",29650.0,"English,Sign Language","ISU Extension - Clay County","2022-03-20T00:00:50.843593",-95.146304,43.141234
"Delaware County","Iowa","19055",4.0,"United Way of Dubuque Area Tri-States","Yes",19.0,55.0,1094.0,"Required","2020-01-10T19:32:25.508108","02 FEB 2022 - 13 APR 2022","721 S 5th Street
Suite B
Manchester, IA 52057
563-927-4629
Volunteer Prepared Taxes","",14319.0,"English","Hawkeye Area Community Action Program, Manchester","2022-03-20T00:00:53.741305",-91.464497,42.478295
"Bacon County","Georgia","13005",18.0,"United Way of South Georgia, Inc.","Yes","","","","","","","","","","","","","",""
"Brantley County","Georgia","13025",8.0,"United Way of South Georgia, Inc.","Yes","","","","","","","","","","","","","",""
"Ben Hill County","Georgia","13017",3.0,"United Way of South Central Georgia","Yes","","","","","","","","","","","","","",""
"Burke County","Georgia","13033",12.0,"United Way of the Central Savannah River Area","Yes",13.0,33.0,4036.0,"Required","2020-02-25T16:47:03.840809","31 JAN 2022 - 30 MAR 2022","715 West 6th Street
Waynesboro, GA 30830
706-554-2119
Volunteer Prepared Taxes","",27567.0,"English","UGA Burke County Extension","2022-03-20T00:01:04.120554",-82.026378,33.086522
"Catoosa County","Georgia","13047",48.0,"United Way of Northwest Georgia, United Way of Greater Chattanooga","Yes","","","","","","","","","","","","","",""
"Chattahoochee County","Georgia","13053",6.0,"United Way of the Chattahoochee Valley","Yes","","","","","","","","","","","","","",""
"Chattooga County","Georgia","13055",13.0,"United Way of Rome & Floyd County, Inc.","Yes","","","","","","","","","","","","","",""
"Columbia County","Georgia","13073",48.0,"United Way of the Central Savannah River Area","Yes","","","","","","","","","","","","","",""
"Decatur County","Georgia","13087",7.0,"United Way of Southwest Georgia, Bainbridge-Decatur United Way","Yes","","","","","","","","","","","","","",""
"Floyd County","Georgia","13115",29.0,"United Way of Bartow County, Inc., United Way of Gordon County, United Way of Rome & Floyd County, Inc.","Yes","","","","","","","","","","","","","",""
"Forsyth County","Georgia","13117",194.0,"United Way of Hall County, Inc., United Way of Greater Atlanta, United Way of Forsyth County, Inc.","Yes","","","","","","","","","","","","","",""
"Habersham County","Georgia","13137",4.0,"Habersham County United Way, Inc.","Yes","","","","","","","","","","","","","",""
"Hart County","Georgia","13147",15.0,"United Way of Northeast Georgia","Yes","","","","","","","","","","","","","",""
"Lowndes County","Georgia","13185",48.0,"Greater Valdosta United Way, Inc.","Yes",13.0,185.0,6976.0,"Required","2022-01-23T00:00:53.602706","18 JAN 2022 - 18 APR 2022","1000 N St. Augustine Rd
Valdosta, GA 31601
229-316-1216
Volunteer Prepared Taxes","",29735.0,"English,Spanish","Goodwill SR Valdosta VITA","2022-03-20T00:01:03.816523",-83.318554,30.839045
"Lowndes County","Georgia","13185",48.0,"Greater Valdosta United Way, Inc.","Yes",13.0,185.0,4031.0,"Not Required","2020-02-25T16:47:03.694661","02 FEB 2022 - 15 APR 2022","2525 North Patterson Street
Valdosta, GA 31698
Volunteer Prepared Taxes","TUE 4:00PM-8:00PM
FRI 9:00AM-3:00PM",25711.0,"English","VSU Site Beta Alpha Psi Mu Zeta","2022-03-20T00:01:03.857936",-83.287757,30.850329
"McIntosh County","Georgia","13191",3.0,"United Way of the Coastal Empire, Inc.","Yes","","","","","","","","","","","","","",""
"Meriwether County","Georgia","13199",34.0,"Griffin-Spalding County United Way, United Way of Greater Atlanta, United Way of West Georgia, Inc.","Yes","","","","","","","","","","","","","",""
"Monroe County","Georgia","13207",34.0,"United Way of Central Georgia, Inc.","Yes","","","","","","","","","","","","","",""
"Putnam County","Georgia","13237",31.0,"United Way of Central Georgia, Inc., United Way of Northeast Georgia","Yes","","","","","","","","","","","","","",""
"Sumter County","Georgia","13261",5.0,"United Way of Southwest Georgia","Yes","","","","","","","","","","","","","",""
"Taliaferro County","Georgia","13265",24.0,"United Way of Northeast Georgia","Yes","","","","","","","","","","","","","",""
"Warren County","Georgia","13301",10.0,"United Way of McDuffie County","Yes",13.0,301.0,2031.0,"Required","2020-01-10T19:32:33.488101","17 JAN 2022 - 15 APR 2022","1857 Mitchell Road
Warrenton, GA 30828
706-465-1006
Volunteer Prepared Taxes","",1931.0,"English","Warren County Family Connection","2022-03-20T00:01:03.095552",-82.697998,33.342798
"Wayne County","Iowa","19185",2.0,"United Way of Wapello County","Yes","","","","","","","","","","","","","",""
"Scott County","Iowa","19163",36.0,"United Way of the Quad Cities Area, Inc.","Yes",19.0,163.0,1157.0,"Required","2020-01-10T19:32:26.10751","02 FEB 2022 - 06 APR 2022","101 W 3rd Street
Davenport, IA 52801
888-680-4636
Volunteer Prepared Taxes","",14409.0,"English,Virtual Interpreter Services","EICC Urban Campus","2022-03-20T00:00:54.312577",-90.574141,41.522431
"Scott County","Iowa","19163",36.0,"United Way of the Quad Cities Area, Inc.","Yes",19.0,163.0,1160.0,"Required","2020-01-10T19:32:26.137036","01 FEB 2022 - 09 APR 2022","1221 Myrtle Street
Davenport, IA 52804
888-680-4636
Volunteer Prepared Taxes","",12520.0,"English","Friendly House","2022-03-20T00:00:54.292109",-90.588942,41.532106
"Sherman County","Kansas","20181",4.0,"United Way of Ellis County","Yes","","","","","","","","","","","","","",""
"Thomas County","Kansas","20193",2.0,"United Way of Ellis County","Yes","","","","","","","","","","","","","",""
"Morris County","Kansas","20127",14.0,"United Way of Dickinson County, Inc., United Way of the Flint Hills, Inc.","Yes","","","","","","","","","","","","","",""
"Rooks County","Kansas","20163",2.0,"United Way of Ellis County","Yes","","","","","","","","","","","","","",""
"Clark County","Kansas","20025","","","","","","","","","","","","","","","","",""
"Harper County","Kansas","20077",7.0,"United Way of the Plains","Yes","","","","","","","","","","","","","",""
"Lyon County","Kansas","20111",107.0,"United Way of the Flint Hills, Inc.","Yes","","","","","","","","","","","","","",""
"Pawnee County","Kansas","20145",12.0,"United Way of Central Kansas","Yes","","","","","","","","","","","","","",""
"Comanche County","Kansas","20033","","","","","","","","","","","","","","","","",""
"Gove County","Kansas","20063",7.0,"United Way of Ellis County, United Way of Dodge City","Yes","","","","","","","","","","","","","",""
"Harvey County","Kansas","20079",172.0,"United Way of McPherson County, Harvey County United Way, United Way of Reno County, Inc., United Way of the Plains","Yes",20.0,79.0,3408.0,"Not Required","2020-02-25T16:46:50.59172","07 FEB 2022 - 11 APR 2022","720 N Oak St.
Newton, KS 67114
Volunteer Prepared Taxes","WED 9:30AM-5:00PM
THU 4:00PM-8:00PM
SAT 9:30AM-12:30PM",9660.0,"English","Newton Public Library","2022-03-20T00:00:49.490336",-97.343118,38.050161
"Kearny County","Kansas","20093","","","","","","","","","","","","","","","","",""
"McPherson County","Kansas","20113",201.0,"Harvey County United Way, United Way of McPherson County","Yes","","","","","","","","","","","","","",""
"Desha County","Arkansas","05041",13.0,"United Way of Southeast Arkansas, Heart of Arkansas United Way","Yes","","","","","","","","","","","","","",""
"Fulton County","Arkansas","05049",2.0,"United Way of North Central Arkansas","Yes","","","","","","","","","","","","","",""
"Howard County","Arkansas","05061",2.0,"Heart of Arkansas United Way","Yes","","","","","","","","","","","","","",""
"Garland County","Arkansas","05051",8.0,"United Way of the Ouachitas","Yes",5.0,51.0,7101.0,"Not Required","2022-01-30T00:00:55.699285","25 JAN 2022 - 18 APR 2022","4138 Central Avenue
Hot Springs National Park, AR 71913
Volunteer Prepared Taxes","TUE 9:00AM-4:00PM
THU 9:00AM-4:00PM",29438.0,"English","Southern Bancorp-Hot Springs Central Avenue","2022-03-20T00:00:53.459922",-93.067031,34.453366
"Garland County","Arkansas","05051",8.0,"United Way of the Ouachitas","Yes",5.0,51.0,1073.0,"Not Required","2020-01-10T19:32:25.331406","25 JAN 2022 - 18 APR 2022","2212 Malvern Avenue
Suite 1
Hot Springs , AR 71901
Volunteer Prepared Taxes","TUE 9:00AM-4:00PM
THU 9:00AM-4:00PM",24680.0,"English,Spanish","Southern Bancorp-Hot Springs-Malvern Ave-Virtual","2022-03-20T00:00:53.532624",-93.023918,34.474471
"Garland County","Arkansas","05051",8.0,"United Way of the Ouachitas","Yes",5.0,51.0,3585.0,"Not Required","2020-02-25T16:46:54.074795","05 FEB 2022 - 15 APR 2022","233 Hobson Avenue
Hot Springs , AR 71913
501-623-2505
Volunteer Prepared Taxes","MON 9:00AM-3:00PM
TUE 9:00AM-3:00PM
WED 9:00AM-3:00PM
THU 9:00AM-3:00PM",26730.0,"English","United Way of the Ouachitas","2022-03-20T00:00:53.439245",-93.058869,34.497462
"Mississippi County","Arkansas","05093",1.0,"United Way of the Mid-South","Yes",5.0,93.0,1259.0,"Not Required","2020-01-10T19:32:26.983771","24 JAN 2022 - 18 APR 2022","801 S Elm St
Blytheville, AR 72315
Volunteer Prepared Taxes","MON 9:00AM-3:30PM
TUE 9:00AM-3:30PM
WED 9:00AM-3:30PM
THU 9:00AM-3:30PM
FRI 9:00AM-3:30PM",26207.0,"English","MCAEOC Richard B Harrison","2022-03-20T00:00:55.271453",-89.909878,35.919295
"Mississippi County","Arkansas","05093",1.0,"United Way of the Mid-South","Yes",5.0,93.0,1261.0,"Not Required","2020-01-10T19:32:26.999499","25 JAN 2022 - 18 APR 2022","120 S 2nd Street
Blytheville, AR 72315
Volunteer Prepared Taxes","TUE 9:00AM-4:00PM
THU 9:00AM-4:00PM",20122.0,"English,Spanish","Southern Bancorp-Blytheville","2022-03-20T00:00:55.280391",-89.90412,35.92727
"Mississippi County","Arkansas","05093",1.0,"United Way of the Mid-South","Yes",5.0,93.0,1257.0,"Not Required","2020-01-10T19:32:26.96786","24 JAN 2022 - 18 APR 2022","1400 N Division Street
Blytheville, AR 72315
Volunteer Prepared Taxes","MON 9:00AM-3:30PM
TUE 9:00AM-3:30PM
WED 9:00AM-3:30PM
THU 9:00AM-3:30PM
FRI 9:00AM-3:30PM
SAT 10:00AM-12:00PM",4529.0,"English,Virtual Interpreter Services","MCAEOC Central Office","2022-03-20T00:00:55.262758",-89.918894,35.94036
"Pope County","Arkansas","05115",16.0,"River Valley United Way, Inc.","Yes","","","","","","","","","","","","","",""
"Prairie County","Arkansas","05117",5.0,"United Way of Southeast Arkansas, Heart of Arkansas United Way","Yes","","","","","","","","","","","","","",""
"Union County","Arkansas","05139",2.0,"United Way of Union County, Inc.","Yes",5.0,139.0,1147.0,"Required","2020-01-10T19:32:25.987873","01 FEB 2022 - 14 APR 2022","824 Camp Street
El Dorado, AR 71730
870-639-3782
Volunteer Prepared Taxes","",5240.0,"English","CADC El Dorado Connections RSVP","2022-03-20T00:00:54.181813",-92.674363,33.2205
"Woodruff County","Arkansas","05147","","","","","","","","","","","","","","","","",""
"Cleburne County","Arkansas","05023",24.0,"United Way of White County, Inc., United Way of North Central Arkansas","Yes","","","","","","","","","","","","","",""
"Cleveland County","Arkansas","05025",44.0,"United Way of Southeast Arkansas, Heart of Arkansas United Way","Yes","","","","","","","","","","","","","",""
"Jackson County","Arkansas","05067","","","","","","","","","","","","","","","","",""
"Hempstead County","Arkansas","05057",4.0,"United Way of Hempstead County","Yes","","","","","","","","","","","","","",""
"Sharp County","Arkansas","05135",2.0,"United Way of North Central Arkansas","Yes","","","","","","","","","","","","","",""
"Stone County","Arkansas","05137",12.0,"Heart of Arkansas United Way, United Way of Central Arkansas, Inc.","Yes","","","","","","","","","","","","","",""
