STATEFP,COUNTYFP,AFFGEOID,GEOID,id,appointment_info,created_at,dates,details,hours,irs_id,languages,name,updated_at,longitude,latitude
26,075,0500000US26075,26075,1639,Required,2020-01-10T19:32:30.234818,01 FEB 2022 - 14 APR 2022,"410 E. High Street
Jackson, MI 49203
517-539-8325
Volunteer Prepared Taxes",,10373,English,CAA Jackson Ayieko Resource Center,2022-03-20T00:00:58.961731,-84.393496,42.233037
26,075,0500000US26075,26075,4842,Required,2021-01-31T00:00:25.972608,01 FEB 2022 - 13 APR 2022,"1107 Adrian Street
Return visit may be necessary
Jackson, MI 49203
517-539-8325
Volunteer Prepared Taxes",,29102,English,CAA St. Johns UCC- MLK location,2022-03-20T00:00:58.949836,-84.399138,42.236507
26,075,0500000US26075,26075,1634,Required,2020-01-10T19:32:30.195754,01 FEB 2022 - 14 APR 2022,"244 W Michigan Ave
Self prep
Jackson, MI 49201
517-539-8325
Self-Prep Taxes Only",,20222,English,CAA Jackson - Carnegie Library FSA,2022-03-20T00:00:58.918085,-84.439204,42.247456
26,075,0500000US26075,26075,1635,Required,2020-01-10T19:32:30.20367,01 FEB 2022 - 13 APR 2022,"1715 Lansing Avenue
Jackson, MI 49202
517-539-8325
Volunteer Prepared Taxes",,5135,English,CAA Jackson Dept on Aging,2022-03-20T00:00:58.92836,-84.416302,42.268199
51,820,0500000US51820,51820,4888,Required,2021-01-31T00:00:29.369209,02 FEB 2022 - 13 APR 2022,"413 Port Republic Road
Waynesboro, VA 22980
540-221-1654
Volunteer Prepared Taxes",,29114,English,Valley VITA - Rosenwald Community Center,2022-03-20T00:01:05.713109,-78.885413,38.075579
06,069,0500000US06069,06069,4544,Required,2020-03-11T00:27:28.294164,02 FEB 2022 - 13 APR 2022,"1161 San Felipe Road
Building B
Whole Person Care
Hollister, CA 95023
831-637-9293
Volunteer Prepared Taxes",,13522,"English,Spanish",Community Service Workforce Development - Hollister,2022-03-20T00:00:43.42813,-121.400493,36.873456
26,123,0500000US26123,26123,1480,Required,2020-01-10T19:32:28.816396,01 FEB 2022 - 14 APR 2022,"6308 S. Warner Ave
Fremont, MI 49412
231-733-1155
Volunteer Prepared Taxes",,17214,English,TrueNorth Community Services,2022-03-20T00:00:57.346901,-85.939851,43.438436
36,097,0500000US36097,36097,6994,Required,2022-01-23T00:00:55.161679,01 FEB 2022 - 15 APR 2022,"401 West Main Street
Montour Falls, NY 14865
800-346-2211
Volunteer Prepared Taxes",,29518,English,Montour House,2022-03-20T00:01:07.265996,-76.848658,42.345889
40,109,0500000US40109,40109,750,Required,2020-01-10T19:32:22.569568,01 FEB 2022 - 15 APR 2022,"319 Southwest 25th Street
Oklahoma City, OK 73109
405-232-0199
Volunteer Prepared Taxes",,6335,"English,Spanish",CAAOKC Central-VITA,2022-03-20T00:00:49.863775,-97.518436,35.439423
40,109,0500000US40109,40109,758,Required,2020-01-10T19:32:22.634184,01 FEB 2022 - 14 APR 2022,"200 N Midwest Blvd
Midwest City Community Center
Midwest City, OK 73110
405-739-1239
Volunteer Prepared Taxes",,3863,English,Midwest City Neighborhoods in Action VITA Site,2022-03-20T00:00:50.036164,-97.388566,35.465942
40,109,0500000US40109,40109,6879,Not Required,2022-01-23T00:00:43.930028,01 FEB 2022 - 13 APR 2022,"2501 N Blackwelder, Meinders
Oklahoma City, OK 73106
Volunteer Prepared Taxes","MON 2:00PM-5:00PM
WED 2:00PM-7:00PM",29540,English,Oklahoma City University,2022-03-20T00:00:49.780128,-97.538749,35.494287
40,109,0500000US40109,40109,6882,Required,2022-01-23T00:00:44.053545,01 FEB 2022 - 12 APR 2022,"5029 N Martin Luther King Ave
Oklahoma City, OK 73111
405-682-1990
Volunteer Prepared Taxes",,29820,English,True Sky CU - NE,2022-03-20T00:00:49.890027,-97.476628,35.521553
40,109,0500000US40109,40109,4726,Required,2021-01-31T00:00:19.488348,03 FEB 2022 - 14 APR 2022,"8230 NW Expressway
Oklahoma City, OK 73162
405-682-1990
Volunteer Prepared Taxes",,28645,English,True Sky CU - NW,2022-03-20T00:00:49.705189,-97.660927,35.567708
40,109,0500000US40109,40109,3422,Not Required,2020-02-25T16:46:50.7475,07 FEB 2022 - 06 APR 2022,"12201 N Portland Ave
Oklahoma City, OK 73120
Volunteer Prepared Taxes","MON 4:30PM-7:30PM
TUE 4:30PM-7:30PM
WED 4:30PM-7:30PM",18504,English,John Marshall HS,2022-03-20T00:00:49.7228,-97.587222,35.593594
40,109,0500000US40109,40109,4728,Not Required,2021-01-31T00:00:19.553304,01 FEB 2022 - 09 APR 2022,"100 N University Drive
College of Business 107
Edmond, OK 73034
Volunteer Prepared Taxes","TUE 2:00PM-4:30PM
THU 2:00PM-4:30PM
SAT 8:00AM-1:30PM",6331,English,UCO VITA,2022-03-20T00:00:49.792087,-97.474996,35.655865
18,093,0500000US18093,18093,6941,Required,2022-01-23T00:00:50.025953,07 FEB 2022 - 04 APR 2022,"804 W Main Street
Mitchell, IN 47446
812-849-2412
Volunteer Prepared Taxes",,14621,English,Mitchell Public Library,2022-03-20T00:00:57.365095,-86.474723,38.732493
18,093,0500000US18093,18093,1479,Required,2020-01-10T19:32:28.807035,05 FEB 2022 - 02 APR 2022,"1323 K Street
Bedford, IN 47421
812-275-4471
Volunteer Prepared Taxes",,3712,English,Bedford Public Library,2022-03-20T00:00:57.337716,-86.485665,38.864313
39,055,0500000US39055,39055,3994,Required,2020-02-25T16:47:02.498607,07 FEB 2022 - 08 APR 2022,"470 Center St
Bldg 2
Chardon, OH 44024
440-279-2130
Volunteer Prepared Taxes",,9540,English,Geauga County Dept. On Aging,2022-03-20T00:01:01.994103,-81.223592,41.589804
01,003,0500000US01003,01003,4850,Required,2021-01-31T00:00:26.282858,24 JAN 2022 - 13 APR 2022,"26251 Canal Rd
Orange Beach, AL 36561
251-981-3440
Volunteer Prepared Taxes",,29060,English,SARPC Orange Beach Senior Activity Center,2022-03-20T00:00:59.44733,-87.577143,30.292111
01,003,0500000US01003,01003,1714,Required,2020-01-10T19:32:30.851952,07 FEB 2022 - 31 MAR 2022,"34354 US Hwy 98
Lillian, AL 36549
251-962-2010
Volunteer Prepared Taxes",,26185,English,United Bank Lillian,2022-03-20T00:00:59.573146,-87.441379,30.410608
01,003,0500000US01003,01003,4844,Required,2021-01-31T00:00:26.014978,24 JAN 2022 - 14 APR 2022,"1100 Fairhope Avenue
Fairhope, AL 36532
251-317-1877
Volunteer Prepared Taxes",,29059,English,SARPC Baldwin County Satellite Courthouse,2022-03-20T00:00:59.051613,-87.879003,30.52363
01,003,0500000US01003,01003,4847,Required,2021-01-31T00:00:26.077345,24 JAN 2022 - 12 APR 2022,"22251 Palmer St
Robertsdale, AL 36567
251-937-9561
Volunteer Prepared Taxes",,29061,English,SARPC Baldwin Council On Aging,2022-03-20T00:00:59.123788,-87.71682,30.550347
01,003,0500000US01003,01003,1642,Required,2020-01-10T19:32:30.259005,24 JAN 2022 - 15 APR 2022,"26440 North Pollard Road
Volunteer Prepared and Self Prep
Daphne, AL 36526
877-246-7836
Volunteer Prepared Taxes",,8955,English,AABC CAA of Baldwin County,2022-03-20T00:00:59.006752,-87.885813,30.609336
01,003,0500000US01003,01003,3856,Required,2020-02-25T16:46:59.499489,24 JAN 2022 - 13 APR 2022,"2605 U.S. Highway 98
Daphne, AL 36526
251-289-9478
Volunteer Prepared Taxes",,27240,English,SARPC Daphne Public Library TCE,2022-03-20T00:00:58.997854,-87.904821,30.617259
01,003,0500000US01003,01003,7124,Required,2022-01-30T00:01:01.341714,31 JAN 2022 - 12 APR 2022,"7361 Spanish Fort Blvd
Spanish Fort, AL 36527
251-289-1391
Volunteer Prepared Taxes",,31018,English,SARPC Spanish Fort Senior Center,2022-03-20T00:00:58.970708,-87.896413,30.670818
01,003,0500000US01003,01003,1643,Required,2020-01-10T19:32:30.267051,24 JAN 2022 - 15 APR 2022,"10718 Eastern Shore Blvd
Goodwill Easter Seals Community Center
Spanish Fort, AL 36527
251-289-1391
Volunteer Prepared Taxes",,25558,English,SARPC Baldwin County RSVP TCE,2022-03-20T00:00:59.015646,-87.846977,30.674294
01,003,0500000US01003,01003,1640,Required,2020-01-10T19:32:30.242635,07 FEB 2022 - 01 APR 2022,"615 McMeans Ave
Bay Minette, AL 36507
251-937-0052
Volunteer Prepared Taxes",,26183,English,United Bank Bay Minette,2022-03-20T00:00:58.979661,-87.787212,30.882929
01,003,0500000US01003,01003,3855,Required,2020-02-25T16:46:59.491162,24 JAN 2022 - 14 APR 2022,"600 Blackburn Ave
Bay Minette Senior Center
Bay Minette, AL 36507
251-289-1391
Volunteer Prepared Taxes",,27617,English,SARPC Bay Minette Senior Center,2022-03-20T00:00:58.988939,-87.774481,30.888048
12,033,0500000US12033,12033,1735,Required,2020-01-10T19:32:31.037825,07 FEB 2022 - 14 APR 2022,"5555 W Highway 98
Building 3600
Pensacola, FL 32507
850-595-5905
Volunteer Prepared Taxes",,20205,English,United Way PSC Warrington,2022-03-20T00:00:59.731207,-87.287359,30.397088
12,033,0500000US12033,12033,1736,Required,2020-01-10T19:32:31.045972,07 FEB 2022 - 13 APR 2022,"1715 E Olive Rd
Volunteer prepared and self prep
Pensacola, FL 32514
850-595-5905
Volunteer Prepared Taxes",,11398,English,United Way Goodwill,2022-03-20T00:00:59.739926,-87.278193,30.398399
12,033,0500000US12033,12033,1742,Required,2020-01-10T19:32:31.094669,07 FEB 2022 - 18 APR 2022,"1000 College Blvd
Behind Building 96
Volunteer  Preparation and Self-Preparation
Pensacola, FL 32504
850-595-5905
Volunteer Prepared Taxes",,636,English,United Way Pensacola State College,2022-03-20T00:00:59.767247,-87.203347,30.480078
37,157,0500000US37157,37157,2215,Required,2020-01-10T19:32:35.031697,07 FEB 2022 - 12 APR 2022,"102 N Washington Ave
Reidsville, NC 27320
336-349-1088
Volunteer Prepared Taxes",,5788,English,RCARE,2022-03-20T00:01:05.367593,-79.671001,36.361629
37,157,0500000US37157,37157,2207,Not Required,2020-01-10T19:32:34.968735,31 JAN 2022 - 13 APR 2022,"508 Orchard Drive
Eden, NC 27288
Volunteer Prepared Taxes","MON 8:00AM-3:00PM
TUE 8:00AM-3:00PM
WED 8:00AM-3:00PM
THU 8:00AM-3:00PM
FRI 8:00AM-3:00PM
SAT 1:00PM-2:00PM",5772,English,Garden of Eden Senior Center,2022-03-20T00:01:05.251928,-79.757915,36.510506
40,115,0500000US40115,40115,3517,Required,2020-02-25T16:46:52.479691,02 FEB 2022 - 13 APR 2022,"217 W Steve Owens Blvd
Attn: Lisa Thorpe
Miami, OK 74354
918-253-4683
Volunteer Prepared Taxes",,7019,English,NEOCAA Miami,2022-03-20T00:00:51.722064,-94.879872,36.870843
18,057,0500000US18057,18057,1488,Required,2020-01-10T19:32:28.88746,05 FEB 2022 - 02 APR 2022,"12900 Hazel Dell Parkway
Carmel, IN 46033
Volunteer Prepared Taxes",,10331,English,Northview Church,2022-03-20T00:00:57.527322,-86.070608,39.981516
19,179,0500000US19179,19179,1012,Required,2020-01-10T19:32:24.814834,01 FEB 2022 - 05 APR 2022,"224 E Second Street
Suite 1
Ottumwa, IA 52501
641-682-1264
Volunteer Prepared Taxes",,12134,English,United Way of Wapello County - Ottumwa,2022-03-20T00:00:52.874685,-92.410404,41.017526
19,105,0500000US19105,19105,1110,Required,2020-01-10T19:32:25.655242,01 FEB 2022 - 07 APR 2022,"105 Broadway Place
Suite 1
Anamosa, IA 52205
319-398-5372
Volunteer Prepared Taxes",,9796,English,UWECI - Jones County Volunteer Center,2022-03-20T00:00:53.927655,-91.288012,42.113095
30,049,0500000US30049,30049,3344,Not Required,2020-02-25T16:46:49.332906,09 FEB 2022 - 23 MAR 2022,"50 Prickly Pear Ave N
East Helena, MT 59635
Volunteer Prepared Taxes",WED 10:00AM-3:00PM,21153,English,East Helena United Methodist Church,2022-03-20T00:00:47.965244,-111.911058,46.589926
30,049,0500000US30049,30049,613,Not Required,2020-01-10T19:32:21.449176,03 FEB 2022 - 28 MAR 2022,"3067 N Montana Ave
Helena, MT 59601
Volunteer Prepared Taxes","MON 10:00AM-4:00PM
THU 10:00PM-4:00PM",13407,English,Good Samaritan Thrift Store,2022-03-20T00:00:47.938211,-112.020853,46.614689
30,049,0500000US30049,30049,6871,Required,2022-01-23T00:00:42.94291,31 JAN 2022 - 18 APR 2022,"75 E Lyndale Ave
Helena, MT 59601
406-442-4360
Volunteer Prepared Taxes",,29304,English,United Way LCA,2022-03-20T00:00:47.929293,-112.029999,46.598095
40,077,0500000US40077,40077,3521,Required,2020-02-25T16:46:52.537728,01 FEB 2022 - 15 APR 2022,"309 W. Main
Wilburton, OK 74578
918-470-2760
Volunteer Prepared Taxes",,4771,English,KI BOIS - Latimer County,2022-03-20T00:00:51.801513,-95.313521,34.918604
48,463,0500000US48463,48463,764,Not Required,2020-01-10T19:32:22.691253,07 FEB 2022 - 15 APR 2022,"301 West Main Street
UVALDE, TX 78801
Volunteer Prepared Taxes","MON 10:00AM-6:00PM
TUE 10:00AM-6:00PM
WED 10:00AM-6:00PM
THU 10:00AM-6:00PM
FRI 10:00AM-6:00PM
SAT 10:00AM-2:00PM",4714,"English,Spanish",El Progreso Library- Uvalde,2022-03-20T00:00:50.197538,-99.790184,29.208355
18,033,0500000US18033,18033,3828,Required,2020-02-25T16:46:58.922447,31 JAN 2022 - 14 APR 2022,"107 W. 5th Street
Auburn, IN 46706
260-385-6598
Volunteer Prepared Taxes",,14103,English,CC-Catholic Charities Auburn,2022-03-20T00:00:58.430847,-85.05595,41.367946
26,045,0500000US26045,26045,7240,Required,2022-02-27T00:01:30.39778,07 FEB 2022 - 18 APR 2022,"131 E Jefferson St
Return visit may be necessary
Grand Ledge, MI 48837
800-887-1107
Volunteer Prepared Taxes",,31388,English,CAUW - Grand Ledge Library,2022-03-20T00:00:58.538416,-84.745948,42.753009
26,045,0500000US26045,26045,1578,Required,2020-01-10T19:32:29.744779,06 FEB 2022 - 10 APR 2022,"320 S. Main St
Return visit may be required
Olivet, MI 49076
866-561-2500
Volunteer Prepared Taxes",,22588,English,CAUW Olivet College,2022-03-20T00:00:58.451465,-84.924298,42.443526
26,045,0500000US26045,26045,1584,Required,2020-01-10T19:32:29.791343,09 FEB 2022 - 13 APR 2022,"945 Reynolds Rd
Return visit may be required
Charlotte, MI 48813
866-561-2500
Volunteer Prepared Taxes",,1643,English,CAUW Charlotte MI Works,2022-03-20T00:00:58.508223,-84.852956,42.552444
27,083,0500000US27083,27083,784,Required,2020-01-10T19:32:22.849134,25 JAN 2022 - 16 APR 2022,"1400 South Saratoga St.
Marshall, MN 56258
507-476-9283
Volunteer Prepared Taxes",,8448,"English,Spanish",UCAP Marshall,2022-03-20T00:00:50.438402,-95.785917,44.429312
26,133,0500000US26133,26133,3803,Required,2020-02-25T16:46:58.431516,01 FEB 2022 - 12 APR 2022,"240 E. Church Street
Return visit may be required
Reed City, MI 49677
989-386-3805
Volunteer Prepared Taxes",,27764,English,Michigan Works-Reed City,2022-03-20T00:00:57.769713,-85.507541,43.869513
27,105,0500000US27105,27105,6887,Required,2022-01-23T00:00:44.478648,25 JAN 2022 - 11 APR 2022,"1039 Oxford St.
Ste. 1
Worthington, MN 56187
507-476-9283
Volunteer Prepared Taxes",,29686,"English,Spanish",UCAP Worthington - Intake,2022-03-20T00:00:50.489384,-95.601741,43.631207
18,105,0500000US18105,18105,1468,Required,2020-01-10T19:32:28.70639,03 FEB 2022 - 14 APR 2022,"705 WEST COOLIDGE DR
Bloomington, IN 47403
812-330-7731
Volunteer Prepared Taxes",,18398,English,Broadview Learning Center,2022-03-20T00:00:57.267337,-86.541133,39.141301
18,105,0500000US18105,18105,7159,Required,2022-02-06T00:00:49.66275,03 FEB 2022 - 14 APR 2022,"930 W 7th St
Bloomington, IN 47404
812-349-3735
Volunteer Prepared Taxes",,29657,"English,Spanish",Banneker Community Center Tax Site,2022-03-20T00:00:57.258499,-86.544227,39.168621
27,041,0500000US27041,27041,859,Required,2020-01-10T19:32:23.459554,08 FEB 2022 - 12 APR 2022,"1601 Jefferson St.
Alexandria, MN 56308
320-762-4429
Volunteer Prepared Taxes",,10774,English,Alexandria Tech and Comm College,2022-03-20T00:00:51.379866,-95.373101,45.872654
27,041,0500000US27041,27041,857,Not Required,2020-01-10T19:32:23.443016,01 FEB 2022 - 13 APR 2022,"221 7th Ave. W.
Alexandria, MN 56308
800-492-4805
Volunteer Prepared Taxes","TUE 8:30AM-4:00PM
WED 8:30AM-4:00PM",10773,English,WCMCA First Congregational UCC,2022-03-20T00:00:51.370984,-95.379473,45.884818
29,075,0500000US29075,29075,870,Required,2020-01-10T19:32:23.553186,31 JAN 2022 - 13 APR 2022,"301 East Second St.
Stanberry, MO 64489
660-736-2004
Volunteer Prepared Taxes",,9819,English,MCTC CSI Gentry County (Stanberry),2022-03-20T00:00:51.496233,-94.538554,40.21516
48,171,0500000US48171,48171,767,Not Required,2020-01-10T19:32:22.714486,20 JAN 2022 - 18 APR 2022,"1904 N. Llano St
Fredericksburg, TX 78624
Volunteer Prepared Taxes","MON 1:00PM-6:00PM
THU 1:00PM-6:00PM",24476,"English,Spanish",Hill Country Community Needs Council,2022-03-20T00:00:50.23389,-98.851716,30.286384
47,113,0500000US47113,47113,1376,Required,2020-01-10T19:32:27.965843,01 FEB 2022 - 29 MAR 2022,"301 East Main Street
Jackson, TN 38301
731-300-3247
Volunteer Prepared Taxes",,8672,English,BancorpSouth,2022-03-20T00:00:56.433537,-88.817157,35.614256
51,730,0500000US51730,51730,2564,Required,2020-01-10T19:32:38.079968,15 FEB 2022 - 01 JUN 2022,"110 Wagner Road
Petersburg, VA 23805
804-748-3081
Volunteer Prepared Taxes",,25512,English,Peoples Advantage FCU VITA,2022-03-20T00:01:09.335201,-77.368469,37.189065
29,085,0500000US29085,29085,944,Required,2020-01-10T19:32:24.22304,31 JAN 2022 - 14 APR 2022,"19482 US HIGHWAY 54
Wheatland, MO 65779
417-282-6100
Volunteer Prepared Taxes",,8045,English,AAA Wheatland (McCarty) Senior Center,2022-03-20T00:00:52.403894,-93.409059,37.946417
06,079,0500000US06079,06079,193,Required,2020-01-10T19:32:17.927027,19 FEB 2022 - 09 APR 2022,"Oceano Community Center 1425 19th Street
Oceano, CA 93445
805-922-0329
Volunteer Prepared Taxes",,4748,"English,Spanish",SLO County San Luis Obispo,2022-03-20T00:00:43.948937,-120.614898,35.104013
08,007,0500000US08007,08007,4706,Required,2021-01-31T00:00:18.571382,17 JAN 2022 - 31 DEC 2022,"811 San Juan St.
Pagosa Springs, CO 81147
970-553-9150
Volunteer Prepared Taxes",,29232,"English,Spanish,Navajo",FCTH - TCE at Ruby Sisson Public Library,2022-03-20T00:00:48.049074,-107.017446,37.26669
08,007,0500000US08007,08007,3346,Required,2020-02-25T16:46:49.368016,17 JAN 2022 - 31 DEC 2022,"811 San Juan St.
Pagosa Springs, CO 81147
970-553-9150
Volunteer Prepared Taxes",,26226,"English,Spanish,Navajo",FCTH - Ruby Sisson Public Library,2022-03-20T00:00:48.039793,-107.017446,37.26669
38,017,0500000US38017,38017,6886,Required,2022-01-23T00:00:44.308711,11 FEB 2022 - 12 APR 2022,"3233 South University Drive
Fargo, ND 58104
701-232-2452
Volunteer Prepared Taxes",,7481,English,SENDCAA Ad-Hoc,2022-03-20T00:00:50.270204,-96.799989,46.831694
38,017,0500000US38017,38017,770,Required,2020-01-10T19:32:22.737872,11 FEB 2022 - 13 APR 2022,"3233 S University Drive
Fargo, ND 58104
701-232-2452
Volunteer Prepared Taxes",,2981,English,SENDCAA,2022-03-20T00:00:50.261174,-96.799989,46.831694
38,017,0500000US38017,38017,3457,Not Required,2020-02-25T16:46:51.192078,22 FEB 2022 - 15 APR 2022,"1201 Albrecht Blvd
Basement of NDSU Main Library
Fargo, ND 58108
Volunteer Prepared Taxes",TUE 6:00PM-9:00PM,7480,English,North Dakota State University,2022-03-20T00:00:50.288656,-96.802031,46.890413
53,033,0500000US53033,53033,512,Not Required,2020-01-10T19:32:20.6097,02 FEB 2022 - 21 APR 2022,"1200 South 336th Street
Federal Way, WA 98003
Volunteer Prepared Taxes","TUE 6:00PM-8:30PM
WED 6:00PM-8:30PM
THU 6:00PM-8:30PM",12392,English,Federal Way Multi Service Center,2022-03-20T00:00:47.063896,-122.317965,47.300709
53,033,0500000US53033,53033,6865,Not Required,2022-01-23T00:00:42.501239,02 FEB 2022 - 21 APR 2022,"417 Ramsay Way
Suite 100
Kent, WA 98032
Volunteer Prepared Taxes","MON 10:30AM-7:30PM
WED 10:30AM-7:30PM
THU 10:30AM-7:30PM
SAT 10:30AM-7:30PM
SUN 10:30AM-7:30PM",29590,English,Kent Station Mall VITA,2022-03-20T00:00:47.108843,-122.234718,47.384301
53,033,0500000US53033,53033,519,Not Required,2020-01-10T19:32:20.664575,02 FEB 2022 - 21 APR 2022,"2400 South 240th Street
Placement and Testing Center
Des Moines, WA 98198
Volunteer Prepared Taxes","MON 4:00PM-7:30PM
THU 4:00PM-7:30PM",15761,English,Highline Community College VITA,2022-03-20T00:00:47.117724,-122.296559,47.386538
53,033,0500000US53033,53033,6866,Not Required,2022-01-23T00:00:42.528253,02 FEB 2022 - 21 APR 2022,"152 Southcenter Mall
Seattle, WA 98188
Volunteer Prepared Taxes","TUE 11:30AM-8:30PM
WED 11:30AM-8:30PM
THU 11:30AM-8:30PM
SAT 11:30AM-8:30PM",29588,English,Southcenter Mall VITA,2022-03-20T00:00:47.207601,-122.261356,47.459802
53,033,0500000US53033,53033,539,Not Required,2020-01-10T19:32:20.830182,02 FEB 2022 - 21 APR 2022,"1031 SW 128th St
Burien, WA 98146
Volunteer Prepared Taxes","TUE 5:30PM-8:30PM
THU 5:30PM-8:30PM
SAT 10:30AM-3:30PM",15760,English,Burien Goodwill,2022-03-20T00:00:47.234658,-122.347471,47.488434
53,033,0500000US53033,53033,543,Required,2020-01-10T19:32:20.862022,05 FEB 2022 - 09 APR 2022,"9622 20th Ave SW
Seattle, WA 98106
206-767-6220
Volunteer Prepared Taxes",,8854,"Spanish,English",HIRE at Holy Family,2022-03-20T00:00:47.270413,-122.359219,47.51694
53,033,0500000US53033,53033,546,Not Required,2020-01-10T19:32:20.897994,02 FEB 2022 - 21 APR 2022,"6516 35th Ave SW
Seattle, WA 98126
Volunteer Prepared Taxes","WED 6:30PM-8:30PM
THU 6:30PM-8:30PM
SAT 2:30PM-5:30PM",23271,English,West Seattle Food Bank,2022-03-20T00:00:47.288273,-122.376486,47.544366
53,033,0500000US53033,53033,551,Not Required,2020-01-10T19:32:20.937515,02 FEB 2022 - 21 APR 2022,"1660 S Roberto Maestra Festival Street
Seattle, WA 98144
Volunteer Prepared Taxes","THU 5:30PM-8:30PM
SUN 10:30AM-3:30PM",10492,"English,Spanish",EL Centro De La Raza,2022-03-20T00:00:47.31478,-122.293062,47.58603
53,033,0500000US53033,53033,554,Not Required,2020-01-10T19:32:20.97166,02 FEB 2022 - 21 APR 2022,"14200 SE 13th Place
Bellevue, WA 98007
Volunteer Prepared Taxes","MON 5:30PM-8:30PM
WED 5:30PM-8:30PM",19465,English,Jubilee Reach,2022-03-20T00:00:47.323509,-122.151841,47.59912
53,033,0500000US53033,53033,4638,Required,2020-07-19T00:00:06.602439,02 FEB 2022 - 14 APR 2022,"720 Second Ave
Seattle, WA 98104
Volunteer Prepared Taxes",,3389,English,KC Traveling Site,2022-03-20T00:00:47.332654,-122.333305,47.60316
53,033,0500000US53033,53033,556,Not Required,2020-01-10T19:32:20.987971,02 FEB 2022 - 21 APR 2022,"1000 4th Avenue
Seattle, WA 98104
Volunteer Prepared Taxes","MON 12:30PM-6:30PM
TUE 12:30PM-6:30PM
WED 12:30PM-6:30PM
THU 12:30PM-6:30PM
SAT 11:30AM-4:30PM
SUN 11:30AM-4:30PM",3390,English,Seattle Public Library Downtown Central Branch,2022-03-20T00:00:47.341496,-122.33295,47.606091
53,033,0500000US53033,53033,3318,Not Required,2020-02-25T16:46:48.821883,02 FEB 2022 - 21 APR 2022,"3931 Brooklyn Avenue NE
Samuel E Kelly Ethnic Cultural Center
Seattle, WA 98105
Volunteer Prepared Taxes","TUE 11:30AM-2:30PM
THU 11:30AM-2:30PM",24328,English,University of Washington Seattle Campus,2022-03-20T00:00:47.350401,-122.314454,47.654728
